Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Central Conn. St. (NEC),12,3-9,51,44,280,73,6.1
Morgan St. (MEAC),13,7-6,65,28,279,79,6.1
Norfolk St. (MEAC),12,4-8,49,46,290,72,6.0
Georgetown (Patriot),11,3-8,52,28,292,66,6.0
Coastal Carolina (Big South),14,12-2,68,30,364,83,5.9
Eastern Ky. (OVC),13,9-4,60,34,293,77,5.9
Southeast Mo. St. (OVC),12,5-7,41,60,281,71,5.9
Savannah St. (MEAC),12,0-12,59,24,260,71,5.9
William & Mary (CAA),12,7-5,57,26,275,70,5.8
Western Ill. (MVFC),12,5-7,45,50,268,70,5.8
Penn (Ivy League),10,2-8,44,28,206,58,5.8
Idaho St. (Big Sky),12,8-4,46,46,261,69,5.8
Houston Christian (Southland),11,2-9,56,14,202,63,5.7
Weber St. (Big Sky),12,2-10,47,42,267,68,5.7
Rhode Island (CAA),12,1-11,49,38,242,68,5.7
Liberty (Big South),14,9-5,57,44,350,79,5.6
Saint Francis (PA) (NEC),11,5-6,42,40,250,62,5.6
North Dakota St. (MVFC),16,15-1,72,36,390,90,5.6
Charleston So. (Big South),12,8-4,47,40,228,67,5.6
Towson (CAA),12,4-8,47,40,254,67,5.6
Lafayette (Patriot),11,5-6,49,24,243,61,5.5
Illinois St. (MVFC),15,13-2,67,32,364,83,5.5
Elon (CAA),12,1-11,43,46,246,66,5.5
VMI (SoCon),12,2-10,49,34,228,66,5.5
Northwestern St. (Southland),12,6-6,46,39,200,66,5.5
Ark.-Pine Bluff (SWAC),11,4-7,41,38,238,60,5.5
Furman (SoCon),12,3-9,55,20,307,65,5.4
UAlbany (CAA),12,7-5,54,22,264,65,5.4
Colgate (Patriot),12,5-7,49,32,237,65,5.4
San Diego (Pioneer),12,9-3,51,28,257,65,5.4
Eastern Wash. (Big Sky),14,11-3,57,36,243,75,5.4
The Citadel (SoCon),12,5-7,41,46,257,64,5.3
Morehead St. (Pioneer),12,4-8,47,34,244,64,5.3
Gardner-Webb (Big South),12,4-8,45,38,223,64,5.3
Presbyterian (Big South),11,6-5,51,14,207,58,5.3
Wofford (SoCon),11,6-5,45,26,261,58,5.3
Dayton (Pioneer),11,8-3,43,28,203,57,5.2
Western Caro. (SoCon),12,7-5,45,34,206,62,5.2
Austin Peay (OVC),12,1-11,41,38,185,60,5.0
Davidson (Pioneer),12,1-11,47,26,260,60,5.0
Duquesne (NEC),12,6-6,49,22,224,60,5.0
Harvard (Ivy League),10,10-0,36,28,202,50,5.0
Delaware St. (MEAC),12,2-10,44,30,200,59,4.9
Delaware (CAA),12,6-6,44,28,270,58,4.8
Mercer (SoCon),12,6-6,44,28,210,58,4.8
Northern Colo. (Big Sky),11,3-8,37,31,174,53,4.8
Youngstown St. (MVFC),12,7-5,51,12,218,57,4.8
Howard (MEAC),12,5-7,45,24,165,57,4.8
UC Davis (Big Sky),11,2-9,42,20,234,52,4.7
Holy Cross (Patriot),12,4-8,49,14,181,56,4.7
South Dakota St. (MVFC),14,9-5,52,26,199,65,4.6
Brown (Ivy League),10,5-5,40,12,201,46,4.6
Sacramento St. (Big Sky),12,7-5,39,32,197,55,4.6
Southern Ill. (MVFC),12,6-6,38,34,246,55,4.6
Cal Poly (Big Sky),12,7-5,36,34,177,53,4.4
Missouri St. (MVFC),12,4-8,43,20,173,53,4.4
Montana St. (Big Sky),13,8-5,49,14,226,56,4.3
Cornell (Ivy League),10,1-9,38,8,191,42,4.2
Campbell (Pioneer),12,5-7,31,38,132,50,4.2
Richmond (CAA),14,9-5,53,10,252,58,4.1
Dartmouth (Ivy League),10,8-2,35,12,192,41,4.1
Northern Ariz. (Big Sky),12,7-5,39,20,192,49,4.1
South Dakota (MVFC),12,2-10,38,22,149,49,4.1
Lehigh (Patriot),11,3-8,37,12,184,43,3.9
Columbia (Ivy League),10,0-10,23,22,150,34,3.4
Valparaiso (Pioneer),12,4-8,31,16,141,39,3.3
Nicholls (Southland),12,0-12,33,10,116,38,3.2
Abilene Christian (Southland),12,6-6,67,18,312,76,6.3
UIW (Southland),11,2-9,51,22,253,62,5.6
