Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Stetson (Pioneer),12,5-7,30,240,0,8.00
McNeese (Southland),11,6-5,17,137,0,8.06
Southeastern La. (Southland),13,9-4,18,146,1,8.11
Texas Southern (SWAC),11,5-6,24,196,0,8.17
Columbia (Ivy League),10,0-10,18,147,0,8.17
Rhode Island (CAA),12,1-11,22,183,0,8.32
Lafayette (Patriot),11,5-6,31,261,0,8.42
Southern Utah (Big Sky),12,3-9,19,161,0,8.47
Eastern Ky. (OVC),13,9-4,23,196,1,8.52
Grambling (SWAC),12,7-5,28,241,0,8.61
Sam Houston (Southland),16,11-5,36,310,0,8.61
Illinois St. (MVFC),15,13-2,21,182,1,8.67
Austin Peay (OVC),12,1-11,39,340,3,8.72
Davidson (Pioneer),12,1-11,18,159,1,8.83
Dayton (Pioneer),11,8-3,25,221,1,8.84
South Carolina St. (MEAC),12,8-4,20,177,0,8.85
N.C. A&T (MEAC),12,9-3,22,198,0,9.00
Delaware (CAA),12,6-6,20,180,0,9.00
Eastern Ill. (OVC),12,5-7,22,200,1,9.09
Stony Brook (CAA),12,5-7,22,204,1,9.27
SFA (),13,8-5,18,167,1,9.28
North Dakota (Big Sky),12,5-7,27,257,1,9.52
North Dakota St. (MVFC),16,15-1,19,187,0,9.84
Western Caro. (SoCon),12,7-5,15,148,0,9.87
Morehead St. (Pioneer),12,4-8,32,317,2,9.91
Morgan St. (MEAC),13,7-6,17,169,1,9.94
Idaho St. (Big Sky),12,8-4,22,219,3,9.95
Jackson St. (SWAC),12,5-7,23,229,1,9.96
Norfolk St. (MEAC),12,4-8,28,280,2,10.00
Charleston So. (Big South),12,8-4,16,160,1,10.00
Central Conn. St. (NEC),12,3-9,18,182,0,10.11
Chattanooga (SoCon),14,10-4,20,203,0,10.15
Penn (Ivy League),10,2-8,13,132,0,10.15
Richmond (CAA),14,9-5,15,153,1,10.20
South Dakota (MVFC),12,2-10,29,296,1,10.21
Cornell (Ivy League),10,1-9,27,280,0,10.37
South Dakota St. (MVFC),14,9-5,13,137,0,10.54
Eastern Wash. (Big Sky),14,11-3,18,193,0,10.72
Missouri St. (MVFC),12,4-8,22,237,0,10.77
Florida A&M (MEAC),12,3-9,33,356,0,10.79
Houston Christian (Southland),11,2-9,31,348,1,11.23
Indiana St. (MVFC),14,8-6,21,237,2,11.29
Portland St. (Big Sky),12,3-9,29,328,2,11.31
The Citadel (SoCon),12,5-7,11,125,1,11.36
Yale (Ivy League),10,8-2,8,91,1,11.38
Ark.-Pine Bluff (SWAC),11,4-7,14,162,0,11.57
Montana (Big Sky),14,9-5,20,244,1,12.20
Howard (MEAC),12,5-7,15,184,0,12.27
Saint Francis (PA) (NEC),11,5-6,20,246,0,12.30
Savannah St. (MEAC),12,0-12,41,515,2,12.56
Weber St. (Big Sky),12,2-10,11,140,0,12.73
Princeton (Ivy League),10,5-5,18,232,1,12.89
UC Davis (Big Sky),11,2-9,18,241,1,13.39
Alcorn (SWAC),13,10-3,18,245,2,13.61
Bethune-Cookman (MEAC),12,9-3,27,371,1,13.74
VMI (SoCon),12,2-10,21,293,3,13.95
Northern Ariz. (Big Sky),12,7-5,19,269,1,14.16
Nicholls (Southland),12,0-12,29,417,1,14.38
Western Ill. (MVFC),12,5-7,13,201,0,15.46
Samford (SoCon),11,7-4,17,277,2,16.29
Mississippi Val. (SWAC),11,2-9,34,559,0,16.44
Hampton (MEAC),12,3-9,13,216,1,16.62
Lamar University (Southland),12,8-4,16,271,1,16.94
Georgetown (Patriot),11,3-8,33,591,2,17.91
Delaware St. (MEAC),12,2-10,27,563,7,20.85
Abilene Christian (Southland),12,6-6,16,112,0,7.00
UIW (Southland),11,2-9,32,282,0,8.81
