Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Morehead St. (Pioneer),12,4-8,48,18,15,6,39,0.813
Western Caro. (SoCon),12,7-5,37,17,10,3,30,0.811
Harvard (Ivy League),10,10-0,37,18,4,8,30,0.811
Eastern Ill. (OVC),12,5-7,58,22,13,12,47,0.810
Monmouth (Big South),11,6-5,47,13,16,9,38,0.809
Stony Brook (CAA),12,5-7,26,10,6,5,21,0.808
New Hampshire (CAA),14,12-2,67,33,14,7,54,0.806
Valparaiso (Pioneer),12,4-8,46,14,10,13,37,0.804
Holy Cross (Patriot),12,4-8,45,17,6,13,36,0.800
Montana St. (Big Sky),13,8-5,65,35,6,11,52,0.800
James Madison (CAA),13,9-4,65,21,18,13,52,0.800
William & Mary (CAA),12,7-5,49,18,4,17,39,0.796
Bethune-Cookman (MEAC),12,9-3,39,24,3,4,31,0.795
Duquesne (NEC),12,6-6,48,12,13,13,38,0.792
N.C. A&T (MEAC),12,9-3,48,19,7,12,38,0.792
Alabama A&M (SWAC),12,4-8,43,13,9,12,34,0.791
Illinois St. (MVFC),15,13-2,62,27,11,11,49,0.790
Delaware (CAA),12,6-6,38,17,8,5,30,0.789
Lamar University (Southland),12,8-4,57,20,15,10,45,0.789
Jacksonville St. (OVC),12,10-2,57,31,8,6,45,0.789
Youngstown St. (MVFC),12,7-5,47,14,10,13,37,0.787
Charleston So. (Big South),12,8-4,51,21,9,10,40,0.784
Samford (SoCon),11,7-4,46,24,5,7,36,0.783
Florida A&M (MEAC),12,3-9,32,5,13,7,25,0.781
Dayton (Pioneer),11,8-3,45,18,8,9,35,0.778
Campbell (Pioneer),12,5-7,45,17,10,8,35,0.778
Lehigh (Patriot),11,3-8,40,15,8,8,31,0.775
Presbyterian (Big South),11,6-5,22,10,4,3,17,0.773
Indiana St. (MVFC),14,8-6,57,15,14,15,44,0.772
Eastern Ky. (OVC),13,9-4,57,23,6,15,44,0.772
Texas Southern (SWAC),11,5-6,35,8,8,11,27,0.771
Sacramento St. (Big Sky),12,7-5,48,14,15,8,37,0.771
Grambling (SWAC),12,7-5,52,21,11,8,40,0.769
Marist (Pioneer),11,4-7,26,10,5,5,20,0.769
Howard (MEAC),12,5-7,55,23,13,6,42,0.764
Lafayette (Patriot),11,5-6,38,12,11,6,29,0.763
Jackson St. (SWAC),12,5-7,42,9,7,16,32,0.762
Weber St. (Big Sky),12,2-10,37,7,12,9,28,0.757
Portland St. (Big Sky),12,3-9,37,11,6,11,28,0.757
Nicholls (Southland),12,0-12,24,8,6,4,18,0.750
Sacred Heart (NEC),12,9-3,55,13,15,13,41,0.745
Murray St. (OVC),12,3-9,51,12,17,9,38,0.745
Tennessee St. (OVC),12,6-6,47,14,16,5,35,0.745
Wagner (NEC),11,7-4,39,14,4,11,29,0.744
Houston Christian (Southland),11,2-9,27,9,5,6,20,0.741
Northern Colo. (Big Sky),11,3-8,25,6,6,6,18,0.720
Georgetown (Patriot),11,3-8,25,7,5,6,18,0.720
Central Conn. St. (NEC),12,3-9,39,10,9,9,28,0.718
N.C. Central (MEAC),12,7-5,49,19,7,9,35,0.714
Delaware St. (MEAC),12,2-10,21,6,6,3,15,0.714
Tennessee Tech (OVC),12,5-7,31,7,7,8,22,0.710
South Carolina St. (MEAC),12,8-4,48,22,6,6,34,0.708
Butler (Pioneer),11,4-7,27,6,8,5,19,0.704
Penn (Ivy League),10,2-8,40,10,8,10,28,0.700
Columbia (Ivy League),10,0-10,20,5,7,2,14,0.700
Jacksonville (Pioneer),11,9-2,53,13,14,10,37,0.698
Ark.-Pine Bluff (SWAC),11,4-7,36,11,10,4,25,0.694
Hampton (MEAC),12,3-9,48,12,13,8,33,0.688
Drake (Pioneer),11,7-4,44,17,8,5,30,0.682
Southern Utah (Big Sky),12,3-9,44,10,13,7,30,0.682
Robert Morris (NEC),11,1-10,22,4,8,3,15,0.682
Mississippi Val. (SWAC),11,2-9,25,9,6,2,17,0.680
Towson (CAA),12,4-8,34,12,6,5,23,0.676
Gardner-Webb (Big South),12,4-8,34,9,7,7,23,0.676
Bryant (NEC),11,8-3,43,14,10,5,29,0.674
Elon (CAA),12,1-11,39,5,8,13,26,0.667
Stetson (Pioneer),12,5-7,41,15,6,5,26,0.634
Austin Peay (OVC),12,1-11,19,4,4,4,12,0.632
Furman (SoCon),12,3-9,31,10,3,6,19,0.613
Cornell (Ivy League),10,1-9,28,3,10,2,15,0.536
Rhode Island (CAA),12,1-11,23,8,4,0,12,0.522
Savannah St. (MEAC),12,0-12,27,7,5,2,14,0.519
Norfolk St. (MEAC),12,4-8,22,5,4,2,11,0.500
Abilene Christian (Southland),12,6-6,49,17,15,14,46,0.939
UIW (Southland),11,2-9,24,7,4,6,17,0.708
