Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Central Ark. (Southland),12,6-6,497,1914,3.85,28,159.5
Central Conn. St. (NEC),12,3-9,438,1908,4.36,17,159.0
Holy Cross (Patriot),12,4-8,472,1884,3.99,18,157.0
Houston Christian (Southland),11,2-9,483,1711,3.54,12,155.5
San Diego (Pioneer),12,9-3,470,1862,3.96,15,155.2
Morehead St. (Pioneer),12,4-8,492,1838,3.74,19,153.2
Princeton (Ivy League),10,5-5,359,1521,4.24,22,152.1
Valparaiso (Pioneer),12,4-8,445,1824,4.10,17,152.0
N.C. Central (MEAC),12,7-5,460,1820,3.96,22,151.7
William & Mary (CAA),12,7-5,488,1816,3.72,20,151.3
Richmond (CAA),14,9-5,493,2060,4.18,26,147.1
Northern Ariz. (Big Sky),12,7-5,445,1764,3.96,15,147.0
Drake (Pioneer),11,7-4,472,1606,3.40,19,146.0
Lafayette (Patriot),11,5-6,406,1591,3.92,15,144.6
UC Davis (Big Sky),11,2-9,317,1591,5.02,12,144.6
Davidson (Pioneer),12,1-11,444,1719,3.87,22,143.3
Southern Ill. (MVFC),12,6-6,420,1717,4.09,17,143.1
Murray St. (OVC),12,3-9,362,1694,4.68,17,141.2
UAlbany (CAA),12,7-5,424,1689,3.98,15,140.8
Butler (Pioneer),11,4-7,338,1537,4.55,17,139.7
Alabama A&M (SWAC),12,4-8,537,1650,3.07,14,137.5
Bucknell (Patriot),11,8-3,407,1512,3.71,16,137.5
Georgetown (Patriot),11,3-8,364,1502,4.13,8,136.5
Weber St. (Big Sky),12,2-10,414,1627,3.93,12,135.6
Tennessee Tech (OVC),12,5-7,445,1621,3.64,14,135.1
Tennessee St. (OVC),12,6-6,409,1561,3.82,15,130.1
Furman (SoCon),12,3-9,421,1555,3.69,12,129.6
Monmouth (Big South),11,6-5,359,1420,3.96,16,129.1
Austin Peay (OVC),12,1-11,485,1523,3.14,5,126.9
Grambling (SWAC),12,7-5,477,1520,3.19,22,126.7
Brown (Ivy League),10,5-5,332,1223,3.68,11,122.3
Mississippi Val. (SWAC),11,2-9,421,1341,3.19,11,121.9
Duquesne (NEC),12,6-6,442,1431,3.24,13,119.3
Rhode Island (CAA),12,1-11,432,1428,3.31,10,119.0
North Dakota (Big Sky),12,5-7,443,1397,3.15,10,116.4
Penn (Ivy League),10,2-8,343,1150,3.35,11,115.0
Nicholls (Southland),12,0-12,414,1369,3.31,11,114.1
Maine (CAA),11,5-6,405,1202,2.97,8,109.3
Northern Colo. (Big Sky),11,3-8,380,1184,3.12,9,107.6
Norfolk St. (MEAC),12,4-8,480,1288,2.68,5,107.3
VMI (SoCon),12,2-10,361,1243,3.44,16,103.6
Southern Utah (Big Sky),12,3-9,383,1238,3.23,11,103.2
Jackson St. (SWAC),12,5-7,372,1227,3.30,11,102.3
Florida A&M (MEAC),12,3-9,388,1171,3.02,5,97.6
Cornell (Ivy League),10,1-9,337,968,2.87,5,96.8
Delaware St. (MEAC),12,2-10,392,1160,2.96,6,96.7
Indiana St. (MVFC),14,8-6,386,1241,3.22,16,88.6
Marist (Pioneer),11,4-7,376,959,2.55,11,87.2
Robert Morris (NEC),11,1-10,420,948,2.26,4,86.2
Elon (CAA),12,1-11,352,992,2.82,5,82.7
Savannah St. (MEAC),12,0-12,374,922,2.47,9,76.8
Gardner-Webb (Big South),12,4-8,372,862,2.32,11,71.8
Columbia (Ivy League),10,0-10,237,556,2.35,5,55.6
Abilene Christian (Southland),12,6-6,442,1952,4.42,22,162.7
UIW (Southland),11,2-9,352,1026,2.91,9,93.3
