Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Kennesaw St. (FCS Independent),9,3-6,37,32,202,53,5.9
N.C. Central (MEAC),12,9-3,50,40,271,70,5.8
Northwestern St. (Southland),6,0-6,22,26,122,35,5.8
Charleston So. (OVC),11,4-7,51,26,279,64,5.8
Drake (Pioneer),12,8-4,52,34,271,69,5.8
Lamar University (Southland),11,6-5,38,50,230,63,5.7
Robert Morris (OVC),11,4-7,49,28,232,63,5.7
Dartmouth (Ivy League),10,6-4,43,28,249,57,5.7
Morgan St. (MEAC),10,4-6,48,18,218,57,5.7
Chattanooga (SoCon),13,8-5,50,48,294,74,5.7
Central Conn. St. (NEC),11,3-8,46,32,218,62,5.6
Grambling (SWAC),11,5-6,45,34,285,62,5.6
Idaho St. (Big Sky),11,3-8,46,30,218,61,5.5
Indiana St. (MVFC),11,1-10,39,44,277,61,5.5
Norfolk St. (MEAC),11,3-8,45,32,199,61,5.5
North Ala. (ASUN),11,3-8,42,38,201,61,5.5
UC Davis (Big Sky),11,7-4,45,32,220,61,5.5
Prairie View (SWAC),12,6-6,56,20,260,66,5.5
Eastern Wash. (Big Sky),11,4-7,46,28,244,60,5.5
New Hampshire (CAA),11,6-5,47,26,266,60,5.5
Towson (CAA),11,5-6,44,32,285,60,5.5
Duquesne (NEC),12,7-5,50,30,311,65,5.4
Saint Francis (PA) (NEC),10,4-6,43,22,211,54,5.4
Butler (Pioneer),11,7-4,45,28,198,59,5.4
Davidson (Pioneer),11,7-4,48,22,284,59,5.4
Mississippi Val. (SWAC),11,1-10,41,36,210,59,5.4
N.C. A&T (CAA),11,1-10,48,22,178,59,5.4
Wagner (NEC),11,4-7,42,34,200,59,5.4
North Dakota St. (MVFC),14,11-3,55,38,356,74,5.3
Cal Poly (Big Sky),11,3-8,41,34,206,58,5.3
ETSU (SoCon),11,3-8,46,24,182,58,5.3
Southeastern La. (Southland),11,3-8,42,32,276,58,5.3
Princeton (Ivy League),10,5-5,41,22,258,52,5.2
Stony Brook (CAA),10,0-10,37,30,209,52,5.2
Ark.-Pine Bluff (SWAC),11,2-9,42,30,200,57,5.2
Bryant (OVC),11,6-5,47,20,258,57,5.2
Marist (Pioneer),11,4-7,46,22,213,57,5.2
VMI (SoCon),11,5-6,36,42,194,57,5.2
Youngstown St. (MVFC),13,8-5,49,36,334,67,5.2
Lehigh (Patriot),11,2-9,44,24,213,56,5.1
Idaho (Big Sky),13,9-4,46,40,244,66,5.1
Austin Peay (ASUN),12,9-3,43,34,226,60,5.0
Abilene Christian (ASUN),11,5-6,39,32,173,55,5.0
Eastern Ky. (ASUN),11,5-6,39,32,223,55,5.0
Fordham (Patriot),11,6-5,38,34,192,55,5.0
Monmouth (CAA),11,4-7,40,30,223,55,5.0
Rhode Island (CAA),11,6-5,40,30,203,55,5.0
William & Mary (CAA),11,6-5,40,30,264,55,5.0
Harvard (Ivy League),10,8-2,40,20,248,50,5.0
Georgetown (Patriot),11,5-6,44,20,211,54,4.9
South Dakota (MVFC),13,10-3,48,30,271,63,4.8
Northern Ariz. (Big Sky),11,5-6,36,34,232,53,4.8
Valparaiso (Pioneer),11,3-8,35,36,208,53,4.8
Samford (SoCon),11,6-5,41,22,145,52,4.7
Western Caro. (SoCon),11,7-4,41,22,215,52,4.7
South Dakota St. (MVFC),13,13-0,40,42,220,61,4.7
Sacred Heart (NEC),11,2-9,35,30,203,50,4.5
North Dakota (MVFC),12,7-5,41,24,208,53,4.4
Wofford (SoCon),11,2-9,32,32,171,48,4.4
Maine (CAA),11,2-9,37,20,186,47,4.3
Southeast Mo. St. (OVC),11,4-7,27,40,193,47,4.3
Sacramento St. (Big Sky),13,8-5,44,22,258,55,4.2
Cornell (Ivy League),10,3-7,33,18,153,42,4.2
Bucknell (Patriot),11,4-7,32,26,178,45,4.1
Delaware St. (MEAC),11,1-10,37,16,189,45,4.1
Northern Colo. (Big Sky),11,0-11,25,40,137,45,4.1
Campbell (CAA),11,5-6,28,32,161,44,4.0
Western Ill. (MVFC),11,0-11,32,24,126,44,4.0
Brown (Ivy League),10,5-5,30,20,111,40,4.0
Howard (MEAC),11,6-5,34,14,173,41,3.7
Murray St. (MVFC),11,2-9,34,14,155,41,3.7
Hampton (CAA),11,5-6,30,20,151,40,3.6
Holy Cross (Patriot),11,7-4,32,16,136,40,3.6
The Citadel (SoCon),11,0-11,26,20,150,36,3.3
Stetson (Pioneer),11,3-8,21,24,100,33,3.0
McNeese (Southland),10,0-10,23,14,105,30,3.0
Tex. A&M-Commerce (Southland),10,1-9,44,34,220,61,6.1
St. Thomas (MN) (Pioneer),11,8-3,38,54,300,65,5.9
Tarleton St. (ASUN),11,8-3,52,26,279,65,5.9
Stonehill (NEC),10,5-5,43,12,159,49,4.9
Lindenwood (OVC),10,3-7,38,18,192,47,4.7
Utah Tech (ASUN),11,2-9,39,24,186,51,4.6
