Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Portland St. (Big Sky),11,5-6,710,4244,5.98,47,385.8
Chattanooga (SoCon),13,8-5,860,4999,5.81,38,384.5
Bryant (OVC),11,6-5,737,4222,5.73,43,383.8
Howard (MEAC),11,6-5,722,4221,5.85,41,383.7
Southeastern La. (Southland),11,3-8,738,4216,5.71,35,383.3
UNI (MVFC),11,6-5,707,4198,5.94,33,381.6
Northern Ariz. (Big Sky),11,5-6,729,4179,5.73,40,379.9
Florida A&M (SWAC),12,11-1,745,4513,6.06,42,376.1
Grambling (SWAC),11,5-6,718,4134,5.76,38,375.8
Alabama A&M (SWAC),11,5-6,755,4121,5.46,41,374.6
Texas Southern (SWAC),11,3-8,696,4107,5.90,35,373.4
Eastern Ill. (OVC),11,8-3,774,4103,5.30,33,373.0
N.C. Central (MEAC),12,9-3,738,4468,6.05,54,372.3
Bucknell (Patriot),11,4-7,789,4070,5.16,37,370.0
UAlbany (CAA),14,11-3,906,5165,5.70,52,368.9
Butler (Pioneer),11,7-4,710,4052,5.71,34,368.4
Harvard (Ivy League),10,8-2,638,3679,5.77,40,367.9
Houston Christian (Southland),10,5-5,672,3677,5.47,30,367.7
Cornell (Ivy League),10,3-7,728,3656,5.02,19,365.6
Lafayette (Patriot),12,9-3,759,4371,5.76,48,364.2
North Dakota (MVFC),12,7-5,719,4360,6.06,50,363.3
Saint Francis (PA) (NEC),10,4-6,601,3601,5.99,36,360.1
Southeast Mo. St. (OVC),11,4-7,750,3959,5.28,33,359.9
Maine (CAA),11,2-9,716,3958,5.53,34,359.8
Hampton (CAA),11,5-6,699,3950,5.65,33,359.1
Nicholls (Southland),11,6-5,738,3950,5.35,33,359.1
William & Mary (CAA),11,6-5,677,3925,5.80,26,356.8
Duquesne (NEC),12,7-5,705,4251,6.03,40,354.2
Yale (Ivy League),10,7-3,662,3542,5.35,38,354.2
Alcorn (SWAC),11,7-4,665,3894,5.86,27,354.0
South Carolina St. (MEAC),11,5-6,641,3874,6.04,34,352.2
Central Conn. St. (NEC),11,3-8,681,3873,5.69,31,352.1
Towson (CAA),11,5-6,697,3849,5.52,31,349.9
Furman (SoCon),13,10-3,898,4506,5.02,41,346.6
South Dakota (MVFC),13,10-3,710,4504,6.34,38,346.5
Cal Poly (Big Sky),11,3-8,746,3808,5.10,29,346.2
Richmond (CAA),13,9-4,825,4492,5.44,41,345.5
Norfolk St. (MEAC),11,3-8,717,3764,5.25,32,342.2
Southern Ill. (MVFC),13,8-5,817,4441,5.44,41,341.6
Gardner-Webb (OVC),12,7-5,876,4052,4.63,38,337.7
Stetson (Pioneer),11,3-8,723,3713,5.14,31,337.5
Prairie View (SWAC),12,6-6,731,4042,5.53,28,336.8
Dayton (Pioneer),11,4-7,765,3697,4.83,33,336.1
Abilene Christian (ASUN),11,5-6,678,3688,5.44,32,335.3
Lamar University (Southland),11,6-5,692,3682,5.32,33,334.7
Dartmouth (Ivy League),10,6-4,674,3347,4.97,24,334.7
Kennesaw St. (FCS Independent),9,3-6,531,3003,5.66,29,333.7
Elon (CAA),11,6-5,679,3666,5.40,31,333.3
San Diego (Pioneer),11,4-7,713,3654,5.12,26,332.2
Presbyterian (Pioneer),11,4-7,665,3625,5.45,25,329.5
Princeton (Ivy League),10,5-5,678,3283,4.84,27,328.3
Southern U. (SWAC),11,6-5,665,3603,5.42,30,327.5
Mercer (SoCon),13,9-4,818,4201,5.14,34,323.2
Drake (Pioneer),12,8-4,783,3868,4.94,26,322.3
McNeese (Southland),10,0-10,601,3219,5.36,23,321.9
Colgate (Patriot),11,6-5,755,3500,4.64,31,318.2
Morehead St. (Pioneer),11,4-7,691,3497,5.06,30,317.9
Stony Brook (CAA),10,0-10,612,3142,5.13,17,314.2
Marist (Pioneer),11,4-7,729,3382,4.64,22,307.5
Weber St. (Big Sky),11,6-5,684,3381,4.94,29,307.4
Merrimack (NEC),11,5-6,679,3348,4.93,33,304.4
Tennessee St. (OVC),11,6-5,731,3331,4.56,29,302.8
Tennessee Tech (OVC),11,4-7,789,3320,4.21,20,301.8
Wagner (NEC),11,4-7,693,3319,4.79,24,301.7
LIU (NEC),11,4-7,607,3310,5.45,26,300.9
VMI (SoCon),11,5-6,719,3306,4.60,22,300.5
Alabama St. (SWAC),11,7-4,617,3286,5.33,25,298.7
Robert Morris (OVC),11,4-7,713,3284,4.61,29,298.5
Lehigh (Patriot),11,2-9,673,3231,4.80,25,293.7
Murray St. (MVFC),11,2-9,655,3209,4.90,21,291.7
Ark.-Pine Bluff (SWAC),11,2-9,710,3203,4.51,22,291.2
Delaware St. (MEAC),11,1-10,620,3200,5.16,20,290.9
Northern Colo. (Big Sky),11,0-11,688,3154,4.58,18,286.7
Sacred Heart (NEC),11,2-9,743,3123,4.20,14,283.9
Northwestern St. (Southland),6,0-6,441,1684,3.82,9,280.7
ETSU (SoCon),11,3-8,645,2981,4.62,21,271.0
Columbia (Ivy League),10,3-7,654,2679,4.10,17,267.9
Valparaiso (Pioneer),11,3-8,651,2916,4.48,24,265.1
Indiana St. (MVFC),11,1-10,656,2906,4.43,15,264.2
N.C. A&T (CAA),11,1-10,592,2878,4.86,17,261.6
The Citadel (SoCon),11,0-11,656,2864,4.37,12,260.4
Bethune-Cookman (SWAC),11,3-8,716,2848,3.98,23,258.9
Morgan St. (MEAC),10,4-6,623,2502,4.02,16,250.2
Mississippi Val. (SWAC),11,1-10,696,2741,3.94,16,249.2
Wofford (SoCon),11,2-9,622,2732,4.39,15,248.4
Charleston So. (OVC),11,4-7,622,2727,4.38,17,247.9
Western Ill. (MVFC),11,0-11,690,2546,3.69,18,231.5
Tarleton St. (ASUN),11,8-3,736,4715,6.41,43,428.6
Utah Tech (ASUN),11,2-9,741,4237,5.72,28,385.2
Lindenwood (OVC),10,3-7,647,3450,5.33,26,345.0
Stonehill (NEC),10,5-5,699,3220,4.61,28,322.0
St. Thomas (MN) (Pioneer),11,8-3,649,3301,5.09,34,300.1
Tex. A&M-Commerce (Southland),10,1-9,643,2934,4.56,19,293.4
