Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Portland St. (Big Sky),11,5-6,691,4406,6.38,46,46,400.5
Central Conn. St. (NEC),11,3-8,716,4415,6.17,44,46,401.4
Southeastern La. (Southland),11,3-8,738,4423,5.99,35,40,402.1
Hampton (CAA),11,5-6,674,4440,6.59,46,52,403.6
N.C. A&T (CAA),11,1-10,733,4460,6.08,39,43,405.5
Cal Poly (Big Sky),11,3-8,700,4490,6.41,52,57,408.2
Morehead St. (Pioneer),11,4-7,736,4515,6.13,38,43,410.5
Maine (CAA),11,2-9,703,4579,6.51,46,48,416.3
Northwestern St. (Southland),6,0-6,396,2504,6.32,23,27,417.3
Campbell (CAA),11,5-6,754,4592,6.09,48,50,417.5
New Hampshire (CAA),11,6-5,734,4605,6.27,42,43,418.6
The Citadel (SoCon),11,0-11,716,4656,6.50,49,51,423.3
Missouri St. (MVFC),11,4-7,753,4681,6.22,41,41,425.5
Murray St. (MVFC),11,2-9,707,4713,6.67,51,52,428.5
Lehigh (Patriot),11,2-9,801,4726,5.90,41,43,429.6
Bucknell (Patriot),11,4-7,779,4743,6.09,47,49,431.2
North Ala. (ASUN),11,3-8,757,4769,6.30,43,46,433.5
Southeast Mo. St. (OVC),11,4-7,786,4861,6.18,44,44,441.9
Colgate (Patriot),11,6-5,803,4871,6.07,47,48,442.8
McNeese (Southland),10,0-10,722,4444,6.16,48,51,444.4
Delaware St. (MEAC),11,1-10,679,4895,7.21,52,54,445.0
Towson (CAA),11,5-6,783,4910,6.27,42,44,446.4
Stetson (Pioneer),11,3-8,751,4918,6.55,47,52,447.1
Ark.-Pine Bluff (SWAC),11,2-9,730,4940,6.77,44,49,449.1
Eastern Wash. (Big Sky),11,4-7,743,4995,6.72,52,53,454.1
Abilene Christian (ASUN),11,5-6,789,5002,6.34,40,41,454.7
Northern Colo. (Big Sky),11,0-11,804,5165,6.42,47,51,469.5
Stony Brook (CAA),10,0-10,670,4707,7.03,51,53,470.7
Eastern Ky. (ASUN),11,5-6,791,5240,6.62,46,48,476.4
Idaho St. (Big Sky),11,3-8,807,5250,6.51,54,58,477.3
Western Ill. (MVFC),11,0-11,665,5257,7.91,64,68,477.9
St. Thomas (MN) (Pioneer),11,8-3,709,3675,5.18,31,32,334.1
Tarleton St. (ASUN),11,8-3,841,4007,4.76,32,35,364.3
Stonehill (NEC),10,5-5,629,3721,5.92,35,39,372.1
Tex. A&M-Commerce (Southland),10,1-9,701,4123,5.88,40,43,412.3
Lindenwood (OVC),10,3-7,710,4206,5.92,39,41,420.6
Utah Tech (ASUN),11,2-9,780,5308,6.81,53,55,482.5
