Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Grambling (SWAC),11,5-6,45,18,12,6,36,0.800
Maine (CAA),11,2-9,35,6,16,6,28,0.800
McNeese (Southland),10,0-10,20,9,2,5,16,0.800
Stetson (Pioneer),11,3-8,40,16,10,6,32,0.800
UT Martin (OVC),11,8-3,45,11,16,9,36,0.800
Wofford (SoCon),11,2-9,20,7,2,7,16,0.800
Texas Southern (SWAC),11,3-8,34,12,7,8,27,0.794
Prairie View (SWAC),12,6-6,29,17,1,5,23,0.793
Florida A&M (SWAC),12,11-1,43,18,7,9,34,0.791
Monmouth (CAA),11,4-7,38,17,10,3,30,0.789
Murray St. (MVFC),11,2-9,28,5,10,7,22,0.786
Houston Christian (Southland),10,5-5,32,11,6,8,25,0.781
Samford (SoCon),11,6-5,41,17,9,6,32,0.780
Alabama A&M (SWAC),11,5-6,45,18,11,6,35,0.778
Western Caro. (SoCon),11,7-4,57,15,19,10,44,0.772
Wagner (NEC),11,4-7,30,7,14,2,23,0.767
Bucknell (Patriot),11,4-7,34,9,12,5,26,0.765
Cornell (Ivy League),10,3-7,34,9,6,11,26,0.765
N.C. A&T (CAA),11,1-10,25,7,3,9,19,0.760
Villanova (CAA),13,10-3,50,24,8,6,38,0.760
Dayton (Pioneer),11,4-7,41,17,9,5,31,0.756
Norfolk St. (MEAC),11,3-8,45,12,14,8,34,0.756
Delaware (CAA),13,9-4,53,18,14,8,40,0.755
Kennesaw St. (FCS Independent),9,3-6,28,15,2,4,21,0.750
UIW (Southland),10,8-2,44,15,14,4,33,0.750
Southeastern La. (Southland),11,3-8,51,17,12,9,38,0.745
Mercer (SoCon),13,9-4,43,17,6,9,32,0.744
Brown (Ivy League),10,5-5,39,10,11,8,29,0.744
Jackson St. (SWAC),11,7-4,39,12,10,7,29,0.744
Tennessee Tech (OVC),11,4-7,27,9,8,3,20,0.741
Nicholls (Southland),11,6-5,42,17,7,7,31,0.738
Northern Ariz. (Big Sky),11,5-6,38,20,5,3,28,0.737
San Diego (Pioneer),11,4-7,38,11,10,7,28,0.737
North Ala. (ASUN),11,3-8,34,10,13,2,25,0.735
South Carolina St. (MEAC),11,5-6,30,14,3,5,22,0.733
Southern U. (SWAC),11,6-5,30,11,6,5,22,0.733
Robert Morris (OVC),11,4-7,33,6,13,5,24,0.727
ETSU (SoCon),11,3-8,29,9,4,8,21,0.724
Georgetown (Patriot),11,5-6,43,11,12,8,31,0.721
LIU (NEC),11,4-7,32,10,7,6,23,0.719
Western Ill. (MVFC),11,0-11,21,4,6,5,15,0.714
Lamar University (Southland),11,6-5,38,13,10,4,27,0.711
Sacred Heart (NEC),11,2-9,31,8,5,9,22,0.710
Alabama St. (SWAC),11,7-4,37,10,9,7,26,0.703
Eastern Ill. (OVC),11,8-3,40,14,8,6,28,0.700
Morgan St. (MEAC),10,4-6,23,6,4,6,16,0.696
VMI (SoCon),11,5-6,29,12,4,4,20,0.690
Indiana St. (MVFC),11,1-10,22,4,3,8,15,0.682
Columbia (Ivy League),10,3-7,25,8,4,5,17,0.680
Northwestern St. (Southland),6,0-6,18,5,2,5,12,0.667
Rhode Island (CAA),11,6-5,39,18,4,4,26,0.667
Cal Poly (Big Sky),11,3-8,35,5,12,6,23,0.657
Valparaiso (Pioneer),11,3-8,32,5,9,7,21,0.656
Delaware St. (MEAC),11,1-10,29,7,7,5,19,0.655
Princeton (Ivy League),10,5-5,26,9,6,2,17,0.654
Mississippi Val. (SWAC),11,1-10,22,6,5,3,14,0.636
Marist (Pioneer),11,4-7,35,6,11,5,22,0.629
Ark.-Pine Bluff (SWAC),11,2-9,31,11,6,2,19,0.613
Stony Brook (CAA),10,0-10,30,5,5,7,17,0.567
The Citadel (SoCon),11,0-11,26,6,1,6,13,0.500
Stonehill (NEC),10,5-5,34,13,10,7,30,0.882
St. Thomas (MN) (Pioneer),11,8-3,30,15,8,2,25,0.833
Utah Tech (ASUN),11,2-9,38,8,14,8,30,0.789
Tarleton St. (ASUN),11,8-3,47,19,9,9,37,0.787
Lindenwood (OVC),10,3-7,22,6,6,4,16,0.727
Tex. A&M-Commerce (Southland),10,1-9,20,7,4,1,12,0.600
