Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Marist (Pioneer),11,4-7,24,191,2.18
Tennessee St. (OVC),11,6-5,24,181,2.18
Wagner (NEC),11,4-7,24,141,2.18
Columbia (Ivy League),10,3-7,22,166,2.20
Prairie View (SWAC),12,6-6,27,166,2.25
Dayton (Pioneer),11,4-7,25,148,2.27
North Ala. (ASUN),11,3-8,25,185,2.27
Northern Colo. (Big Sky),11,0-11,25,149,2.27
ETSU (SoCon),11,3-8,26,162,2.36
LIU (NEC),11,4-7,26,171,2.36
Delaware (CAA),13,9-4,31,213,2.38
UAlbany (CAA),14,11-3,34,247,2.43
Campbell (CAA),11,5-6,27,219,2.45
Colgate (Patriot),11,6-5,27,159,2.45
Jackson St. (SWAC),11,7-4,27,166,2.45
Missouri St. (MVFC),11,4-7,27,202,2.45
Stetson (Pioneer),11,3-8,27,142,2.45
Idaho (Big Sky),13,9-4,32,190,2.46
Mercer (SoCon),13,9-4,33,237,2.54
Montana (Big Sky),13,12-1,33,235,2.54
Presbyterian (Pioneer),11,4-7,28,170,2.55
Gardner-Webb (OVC),12,7-5,31,199,2.58
McNeese (Southland),10,0-10,26,185,2.60
Morgan St. (MEAC),10,4-6,26,149,2.60
Fordham (Patriot),11,6-5,29,182,2.64
UNI (MVFC),11,6-5,29,201,2.64
Wofford (SoCon),11,2-9,29,215,2.64
Richmond (CAA),13,9-4,35,190,2.69
Harvard (Ivy League),10,8-2,27,187,2.70
Princeton (Ivy League),10,5-5,27,152,2.70
N.C. A&T (CAA),11,1-10,30,182,2.73
Delaware St. (MEAC),11,1-10,31,189,2.82
Robert Morris (OVC),11,4-7,31,186,2.82
Indiana St. (MVFC),11,1-10,32,220,2.91
Austin Peay (ASUN),12,9-3,36,229,3.00
Bethune-Cookman (SWAC),11,3-8,33,191,3.00
Monmouth (CAA),11,4-7,33,227,3.00
Southern Ill. (MVFC),13,8-5,40,244,3.08
Idaho St. (Big Sky),11,3-8,34,200,3.09
Southeast Mo. St. (OVC),11,4-7,34,232,3.09
Northwestern St. (Southland),6,0-6,19,116,3.17
Eastern Ill. (OVC),11,8-3,35,223,3.18
Lamar University (Southland),11,6-5,35,205,3.18
Ark.-Pine Bluff (SWAC),11,2-9,36,224,3.27
Elon (CAA),11,6-5,36,220,3.27
Bucknell (Patriot),11,4-7,37,231,3.36
San Diego (Pioneer),11,4-7,37,281,3.36
Southern U. (SWAC),11,6-5,37,221,3.36
VMI (SoCon),11,5-6,37,247,3.36
Samford (SoCon),11,6-5,39,204,3.55
Valparaiso (Pioneer),11,3-8,41,253,3.73
Mississippi Val. (SWAC),11,1-10,43,279,3.91
Western Ill. (MVFC),11,0-11,50,372,4.55
Tarleton St. (ASUN),11,8-3,14,71,1.27
Utah Tech (ASUN),11,2-9,15,114,1.36
Stonehill (NEC),10,5-5,15,97,1.50
St. Thomas (MN) (Pioneer),11,8-3,22,132,2.00
Tex. A&M-Commerce (Southland),10,1-9,23,141,2.30
Lindenwood (OVC),10,3-7,31,160,3.10
