Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Alcorn (SWAC),11,7-4,329:37,29:58
VMI (SoCon),11,5-6,328:28,29:52
Northern Ariz. (Big Sky),11,5-6,328:20,29:51
UNI (MVFC),11,6-5,328:07,29:50
Saint Francis (PA) (NEC),10,4-6,298:10,29:49
Central Ark. (ASUN),11,7-4,327:06,29:44
Western Ill. (MVFC),11,0-11,326:48,29:43
Montana St. (Big Sky),12,8-4,355:48,29:39
Wagner (NEC),11,4-7,325:50,29:37
Kennesaw St. (FCS Independent),9,3-6,266:33,29:37
The Citadel (SoCon),11,0-11,324:12,29:28
Brown (Ivy League),10,5-5,293:54,29:23
Delaware (CAA),13,9-4,381:14,29:20
Duquesne (NEC),12,7-5,351:45,29:19
Eastern Wash. (Big Sky),11,4-7,322:03,29:17
South Dakota (MVFC),13,10-3,380:21,29:15
Yale (Ivy League),10,7-3,292:22,29:14
South Carolina St. (MEAC),11,5-6,321:35,29:14
Sacred Heart (NEC),11,2-9,320:59,29:11
Rhode Island (CAA),11,6-5,320:48,29:10
Houston Christian (Southland),10,5-5,290:48,29:05
Sacramento St. (Big Sky),13,8-5,377:49,29:04
Fordham (Patriot),11,6-5,319:13,29:01
Bethune-Cookman (SWAC),11,3-8,318:07,28:55
Austin Peay (ASUN),12,9-3,347:02,28:55
Morgan St. (MEAC),10,4-6,289:05,28:55
Prairie View (SWAC),12,6-6,346:28,28:52
Stony Brook (CAA),10,0-10,288:30,28:51
Southern Ill. (MVFC),13,8-5,374:36,28:49
Gardner-Webb (OVC),12,7-5,345:33,28:48
Harvard (Ivy League),10,8-2,287:38,28:46
Murray St. (MVFC),11,2-9,315:11,28:39
Holy Cross (Patriot),11,7-4,315:08,28:39
Bucknell (Patriot),11,4-7,314:54,28:38
Central Conn. St. (NEC),11,3-8,314:41,28:36
Cal Poly (Big Sky),11,3-8,313:30,28:30
ETSU (SoCon),11,3-8,312:07,28:22
Western Caro. (SoCon),11,7-4,311:01,28:16
Campbell (CAA),11,5-6,308:40,28:04
Abilene Christian (ASUN),11,5-6,308:26,28:02
Alabama St. (SWAC),11,7-4,307:37,27:58
Wofford (SoCon),11,2-9,307:37,27:58
Northern Colo. (Big Sky),11,0-11,307:19,27:56
Missouri St. (MVFC),11,4-7,306:11,27:50
Delaware St. (MEAC),11,1-10,305:47,27:48
Morehead St. (Pioneer),11,4-7,305:36,27:47
Charleston So. (OVC),11,4-7,305:32,27:47
Presbyterian (Pioneer),11,4-7,304:38,27:42
Illinois St. (MVFC),11,6-5,304:08,27:39
Stetson (Pioneer),11,3-8,303:02,27:33
UIW (Southland),10,8-2,274:49,27:29
N.C. A&T (CAA),11,1-10,301:21,27:24
Columbia (Ivy League),10,3-7,272:26,27:15
Samford (SoCon),11,6-5,298:42,27:09
Weber St. (Big Sky),11,6-5,298:07,27:06
Texas Southern (SWAC),11,3-8,295:05,26:50
Tennessee St. (OVC),11,6-5,294:40,26:47
LIU (NEC),11,4-7,293:32,26:41
Towson (CAA),11,5-6,290:40,26:25
McNeese (Southland),10,0-10,263:53,26:23
Idaho St. (Big Sky),11,3-8,289:16,26:18
Southern U. (SWAC),11,6-5,288:34,26:14
Lehigh (Patriot),11,2-9,285:07,25:55
Stonehill (NEC),10,5-5,305:23,30:32
St. Thomas (MN) (Pioneer),11,8-3,331:37,30:09
Tex. A&M-Commerce (Southland),10,1-9,294:59,29:30
Lindenwood (OVC),10,3-7,287:19,28:44
Utah Tech (ASUN),11,2-9,312:08,28:23
Tarleton St. (ASUN),11,8-3,305:42,27:47
