Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Samford (SoCon),11,6-5,34,31,1,0,10,0,267,24.3
Austin Peay (ASUN),12,9-3,37,30,1,0,13,0,293,24.4
UC Davis (Big Sky),11,7-4,33,32,0,0,13,0,269,24.5
Chattanooga (SoCon),13,8-5,39,37,0,0,16,0,319,24.5
Fordham (Patriot),11,6-5,36,32,2,1,6,0,272,24.7
Sacred Heart (NEC),11,2-9,34,29,0,0,13,0,272,24.7
Tennessee St. (OVC),11,6-5,36,31,1,0,7,1,272,24.7
Wofford (SoCon),11,2-9,30,30,1,0,20,0,272,24.7
Cornell (Ivy League),10,3-7,34,27,1,0,5,0,248,24.8
Valparaiso (Pioneer),11,3-8,35,31,0,0,10,1,273,24.8
Dayton (Pioneer),11,4-7,36,29,1,0,9,0,274,24.9
VMI (SoCon),11,5-6,34,34,0,0,12,0,274,24.9
San Diego (Pioneer),11,4-7,34,29,2,0,12,2,277,25.2
Tennessee Tech (OVC),11,4-7,37,35,0,0,7,0,278,25.3
Youngstown St. (MVFC),13,8-5,43,42,0,0,10,0,330,25.4
Presbyterian (Pioneer),11,4-7,34,32,0,0,14,1,280,25.5
Nicholls (Southland),11,6-5,34,29,1,1,14,1,281,25.5
Holy Cross (Patriot),11,7-4,37,34,0,0,9,0,283,25.7
South Carolina St. (MEAC),11,5-6,36,34,0,0,11,0,283,25.7
Georgetown (Patriot),11,5-6,37,32,2,0,8,1,284,25.8
Bethune-Cookman (SWAC),11,3-8,37,31,2,0,9,1,286,26.0
Bryant (OVC),11,6-5,37,33,1,0,10,0,287,26.1
Drake (Pioneer),12,8-4,41,35,2,0,10,0,315,26.2
North Dakota (MVFC),12,7-5,42,34,1,0,9,0,315,26.2
LIU (NEC),11,4-7,36,32,1,0,12,2,290,26.4
Saint Francis (PA) (NEC),10,4-6,35,33,0,0,7,0,264,26.4
UNI (MVFC),11,6-5,37,35,0,0,12,0,293,26.6
Alabama A&M (SWAC),11,5-6,37,36,1,0,11,1,295,26.8
Mississippi Val. (SWAC),11,1-10,38,34,0,0,12,0,298,27.1
Sacramento St. (Big Sky),13,8-5,44,38,1,0,16,1,354,27.2
Grambling (SWAC),11,5-6,41,36,0,0,6,1,302,27.5
Monmouth (CAA),11,4-7,41,39,0,0,6,0,303,27.5
Western Caro. (SoCon),11,7-4,40,33,4,0,8,0,305,27.7
Houston Christian (Southland),10,5-5,38,35,0,0,5,0,278,27.8
Rhode Island (CAA),11,6-5,41,34,1,0,8,0,306,27.8
Gardner-Webb (OVC),12,7-5,42,38,1,0,15,0,337,28.1
Southeastern La. (Southland),11,3-8,40,38,0,1,11,0,313,28.5
N.C. Central (MEAC),12,9-3,47,43,1,0,6,0,345,28.8
Morehead St. (Pioneer),11,4-7,43,40,1,0,6,0,318,28.9
Robert Morris (OVC),11,4-7,43,40,0,0,6,1,318,28.9
Abilene Christian (ASUN),11,5-6,41,38,1,0,11,0,319,29.0
Brown (Ivy League),10,5-5,38,31,1,0,9,1,290,29.0
Davidson (Pioneer),11,7-4,43,31,2,0,9,0,320,29.1
Charleston So. (OVC),11,4-7,41,41,0,0,10,2,321,29.2
Indiana St. (MVFC),11,1-10,42,35,0,0,11,2,324,29.5
New Hampshire (CAA),11,6-5,43,37,3,0,8,0,325,29.5
Norfolk St. (MEAC),11,3-8,43,36,2,0,9,0,325,29.5
Marist (Pioneer),11,4-7,44,41,0,0,7,0,326,29.6
Southeast Mo. St. (OVC),11,4-7,44,38,0,0,8,0,326,29.6
Wagner (NEC),11,4-7,45,40,0,0,6,0,328,29.8
Missouri St. (MVFC),11,4-7,41,38,2,0,15,0,333,30.3
Northern Ariz. (Big Sky),11,5-6,42,38,3,1,12,0,334,30.4
N.C. A&T (CAA),11,1-10,43,38,1,0,12,1,336,30.5
Duquesne (NEC),12,7-5,49,45,1,0,9,0,368,30.7
Prairie View (SWAC),12,6-6,47,44,0,0,14,0,368,30.7
Central Conn. St. (NEC),11,3-8,46,41,1,0,8,0,343,31.2
Lehigh (Patriot),11,2-9,43,39,2,0,14,0,343,31.2
SFA (ASUN),11,3-8,45,41,0,0,12,1,349,31.7
ETSU (SoCon),11,3-8,44,44,0,0,14,0,350,31.8
Towson (CAA),11,5-6,44,38,2,0,16,1,356,32.4
Colgate (Patriot),11,6-5,48,37,2,0,10,0,359,32.6
Portland St. (Big Sky),11,5-6,46,40,2,0,13,0,359,32.6
Maine (CAA),11,2-9,48,45,0,0,9,0,360,32.7
North Ala. (ASUN),11,3-8,45,41,2,0,15,0,360,32.7
Texas Southern (SWAC),11,3-8,48,44,2,0,8,0,360,32.7
Eastern Ky. (ASUN),11,5-6,48,43,2,0,10,0,365,33.2
Ark.-Pine Bluff (SWAC),11,2-9,48,46,0,0,10,1,366,33.3
Campbell (CAA),11,5-6,50,46,1,0,6,0,366,33.3
Northern Colo. (Big Sky),11,0-11,51,47,1,0,4,0,367,33.4
Bucknell (Patriot),11,4-7,49,45,0,0,10,1,371,33.7
The Citadel (SoCon),11,0-11,50,49,1,0,9,0,378,34.4
Murray St. (MVFC),11,2-9,52,48,1,0,7,0,383,34.8
Hampton (CAA),11,5-6,52,44,2,0,9,1,389,35.4
Northwestern St. (Southland),6,0-6,27,24,0,0,9,0,213,35.5
Eastern Wash. (Big Sky),11,4-7,53,47,1,0,8,3,397,36.1
Stetson (Pioneer),11,3-8,52,45,1,0,15,1,406,36.9
Delaware St. (MEAC),11,1-10,54,51,2,0,12,0,415,37.7
McNeese (Southland),10,0-10,51,49,0,0,8,1,381,38.1
Stony Brook (CAA),10,0-10,53,50,0,0,8,0,392,39.2
Cal Poly (Big Sky),11,3-8,57,56,0,0,12,0,434,39.5
Idaho St. (Big Sky),11,3-8,58,55,0,0,10,2,437,39.7
Western Ill. (MVFC),11,0-11,68,64,1,0,11,1,509,46.3
St. Thomas (MN) (Pioneer),11,8-3,32,30,0,0,7,0,243,22.1
Tarleton St. (ASUN),11,8-3,35,30,0,0,10,0,270,24.5
Stonehill (NEC),10,5-5,39,32,2,0,11,0,303,30.3
Lindenwood (OVC),10,3-7,41,37,0,0,10,1,315,31.5
Tex. A&M-Commerce (Southland),10,1-9,43,41,0,0,8,0,323,32.3
Utah Tech (ASUN),11,2-9,55,52,2,0,10,0,416,37.8
