Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Marist (Pioneer),11,4-7,13,8,21,9,13,22,-1,-0.09
Villanova (CAA),13,10-3,4,13,17,9,10,19,-2,-0.15
Southeastern La. (Southland),11,3-8,5,12,17,9,10,19,-2,-0.18
Stetson (Pioneer),11,3-8,9,12,21,8,15,23,-2,-0.18
Georgetown (Patriot),11,5-6,4,10,14,5,12,17,-3,-0.27
Southern U. (SWAC),11,6-5,14,7,21,11,13,24,-3,-0.27
Cornell (Ivy League),10,3-7,2,8,10,5,8,13,-3,-0.30
Houston Christian (Southland),10,5-5,11,6,17,9,11,20,-3,-0.30
UIW (Southland),10,8-2,5,11,16,10,9,19,-3,-0.30
Presbyterian (Pioneer),11,4-7,8,8,16,10,10,20,-4,-0.36
Robert Morris (OVC),11,4-7,10,7,17,12,9,21,-4,-0.36
SFA (ASUN),11,3-8,9,9,18,10,12,22,-4,-0.36
South Carolina St. (MEAC),11,5-6,7,9,16,9,11,20,-4,-0.36
Wagner (NEC),11,4-7,2,10,12,7,9,16,-4,-0.36
Western Ill. (MVFC),11,0-11,8,3,11,6,9,15,-4,-0.36
Idaho (Big Sky),13,9-4,5,11,16,12,9,21,-5,-0.38
Duquesne (NEC),12,7-5,10,9,19,5,19,24,-5,-0.42
Prairie View (SWAC),12,6-6,4,8,12,5,12,17,-5,-0.42
Ark.-Pine Bluff (SWAC),11,2-9,10,4,14,11,8,19,-5,-0.45
Campbell (CAA),11,5-6,4,8,12,9,8,17,-5,-0.45
Missouri St. (MVFC),11,4-7,4,10,14,8,11,19,-5,-0.45
Northern Ariz. (Big Sky),11,5-6,4,11,15,7,13,20,-5,-0.45
Rhode Island (CAA),11,6-5,2,9,11,6,10,16,-5,-0.45
Tennessee St. (OVC),11,6-5,4,7,11,8,8,16,-5,-0.45
Tennessee Tech (OVC),11,4-7,7,12,19,10,14,24,-5,-0.45
Texas Southern (SWAC),11,3-8,6,5,11,8,8,16,-5,-0.45
VMI (SoCon),11,5-6,7,4,11,6,10,16,-5,-0.45
Saint Francis (PA) (NEC),10,4-6,5,6,11,5,11,16,-5,-0.50
Bethune-Cookman (SWAC),11,3-8,8,9,17,13,10,23,-6,-0.55
Hampton (CAA),11,5-6,7,7,14,6,14,20,-6,-0.55
Holy Cross (Patriot),11,7-4,2,5,7,6,7,13,-6,-0.55
Maine (CAA),11,2-9,8,7,15,8,13,21,-6,-0.55
Mississippi Val. (SWAC),11,1-10,8,7,15,11,10,21,-6,-0.55
LIU (NEC),11,4-7,5,7,12,8,11,19,-7,-0.64
N.C. A&T (CAA),11,1-10,6,5,11,10,8,18,-7,-0.64
UNI (MVFC),11,6-5,7,9,16,8,15,23,-7,-0.64
Western Caro. (SoCon),11,7-4,5,9,14,8,13,21,-7,-0.64
Dayton (Pioneer),11,4-7,10,9,19,15,12,27,-8,-0.73
Murray St. (MVFC),11,2-9,4,6,10,7,11,18,-8,-0.73
UT Martin (OVC),11,8-3,3,9,12,11,9,20,-8,-0.73
Stony Brook (CAA),10,0-10,4,8,12,10,10,20,-8,-0.80
North Ala. (ASUN),11,3-8,7,8,15,11,13,24,-9,-0.82
Lehigh (Patriot),11,2-9,9,3,12,8,14,22,-10,-0.91
Gardner-Webb (OVC),12,7-5,6,10,16,16,11,27,-11,-0.92
ETSU (SoCon),11,3-8,7,7,14,13,12,25,-11,-1.00
Northwestern St. (Southland),6,0-6,6,4,10,6,10,16,-6,-1.00
Cal Poly (Big Sky),11,3-8,7,4,11,10,13,23,-12,-1.09
Delaware St. (MEAC),11,1-10,4,3,7,6,13,19,-12,-1.09
The Citadel (SoCon),11,0-11,3,6,9,12,9,21,-12,-1.09
McNeese (Southland),10,0-10,6,5,11,11,11,22,-11,-1.10
Penn (Ivy League),10,6-4,1,8,9,8,12,20,-11,-1.10
Indiana St. (MVFC),11,1-10,4,5,9,8,14,22,-13,-1.18
Idaho St. (Big Sky),11,3-8,6,8,14,6,22,28,-14,-1.27
Valparaiso (Pioneer),11,3-8,6,3,9,11,13,24,-15,-1.36
Stonehill (NEC),10,5-5,9,7,16,4,8,12,4,0.40
Tarleton St. (ASUN),11,8-3,11,7,18,6,13,19,-1,-0.09
Tex. A&M-Commerce (Southland),10,1-9,7,15,22,6,17,23,-1,-0.10
Utah Tech (ASUN),11,2-9,8,8,16,4,14,18,-2,-0.18
St. Thomas (MN) (Pioneer),11,8-3,5,8,13,9,9,18,-5,-0.45
Lindenwood (OVC),10,3-7,6,3,9,5,16,21,-12,-1.20
