Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Southeastern La. (Southland),11,3-8,9,50,1,5.56
Northern Colo. (Big Sky),11,0-11,20,112,0,5.60
Montana St. (Big Sky),12,8-4,7,43,0,6.14
Robert Morris (OVC),11,4-7,16,99,0,6.19
Princeton (Ivy League),10,5-5,17,106,0,6.24
Eastern Ill. (OVC),11,8-3,13,83,0,6.38
Kennesaw St. (FCS Independent),9,3-6,9,58,0,6.44
Delaware St. (MEAC),11,1-10,25,162,0,6.48
William & Mary (CAA),11,6-5,15,100,0,6.67
Lamar University (Southland),11,6-5,13,87,1,6.69
San Diego (Pioneer),11,4-7,13,87,0,6.69
Norfolk St. (MEAC),11,3-8,12,81,0,6.75
Monmouth (CAA),11,4-7,6,41,0,6.83
Marist (Pioneer),11,4-7,18,129,0,7.17
Alabama St. (SWAC),11,7-4,9,66,0,7.33
Western Ill. (MVFC),11,0-11,18,132,0,7.33
Elon (CAA),11,6-5,14,105,0,7.50
Lafayette (Patriot),12,9-3,17,128,0,7.53
Dartmouth (Ivy League),10,6-4,17,130,0,7.65
Weber St. (Big Sky),11,6-5,18,141,1,7.83
Columbia (Ivy League),10,3-7,22,174,2,7.91
Yale (Ivy League),10,7-3,17,136,0,8.00
South Dakota (MVFC),13,10-3,16,130,1,8.12
Alcorn (SWAC),11,7-4,13,106,0,8.15
Mercer (SoCon),13,9-4,17,142,1,8.35
Houston Christian (Southland),10,5-5,13,109,0,8.38
Duquesne (NEC),12,7-5,17,146,1,8.59
Furman (SoCon),13,10-3,22,190,2,8.64
Tennessee St. (OVC),11,6-5,21,182,0,8.67
Hampton (CAA),11,5-6,14,123,1,8.79
Southern U. (SWAC),11,6-5,20,176,0,8.80
Murray St. (MVFC),11,2-9,19,174,1,9.16
Southern Ill. (MVFC),13,8-5,19,175,1,9.21
Sacred Heart (NEC),11,2-9,23,214,0,9.30
Mississippi Val. (SWAC),11,1-10,23,216,0,9.39
Sacramento St. (Big Sky),13,8-5,10,94,0,9.40
UT Martin (OVC),11,8-3,17,161,1,9.47
North Dakota (MVFC),12,7-5,8,76,0,9.50
Western Caro. (SoCon),11,7-4,8,77,0,9.62
Delaware (CAA),13,9-4,20,193,0,9.65
Cornell (Ivy League),10,3-7,9,88,0,9.78
Texas Southern (SWAC),11,3-8,13,133,1,10.23
South Carolina St. (MEAC),11,5-6,16,165,0,10.31
North Dakota St. (MVFC),14,11-3,11,117,0,10.64
Ark.-Pine Bluff (SWAC),11,2-9,18,193,0,10.72
UAlbany (CAA),14,11-3,16,172,0,10.75
Towson (CAA),11,5-6,12,136,1,11.33
Presbyterian (Pioneer),11,4-7,20,230,2,11.50
Lehigh (Patriot),11,2-9,13,151,0,11.62
ETSU (SoCon),11,3-8,27,316,1,11.70
Nicholls (Southland),11,6-5,28,332,3,11.86
The Citadel (SoCon),11,0-11,23,273,0,11.87
Grambling (SWAC),11,5-6,21,250,0,11.90
Penn (Ivy League),10,6-4,15,183,0,12.20
Stetson (Pioneer),11,3-8,19,232,1,12.21
Bethune-Cookman (SWAC),11,3-8,20,247,1,12.35
Charleston So. (OVC),11,4-7,24,298,0,12.42
Southern Utah (ASUN),11,6-5,14,175,1,12.50
Bucknell (Patriot),11,4-7,27,339,1,12.56
Villanova (CAA),13,10-3,19,242,1,12.74
Wagner (NEC),11,4-7,17,219,1,12.88
Central Conn. St. (NEC),11,3-8,15,197,1,13.13
Drake (Pioneer),12,8-4,20,273,1,13.65
Cal Poly (Big Sky),11,3-8,16,219,2,13.69
UC Davis (Big Sky),11,7-4,21,288,1,13.71
Idaho St. (Big Sky),11,3-8,12,165,1,13.75
UNI (MVFC),11,6-5,11,152,0,13.82
UIW (Southland),10,8-2,7,97,0,13.86
VMI (SoCon),11,5-6,24,334,1,13.92
Eastern Ky. (ASUN),11,5-6,16,229,0,14.31
Chattanooga (SoCon),13,8-5,21,303,1,14.43
Morehead St. (Pioneer),11,4-7,10,145,2,14.50
Maine (CAA),11,2-9,20,295,1,14.75
Georgetown (Patriot),11,5-6,9,133,0,14.78
McNeese (Southland),10,0-10,9,138,0,15.33
Howard (MEAC),11,6-5,11,188,1,17.09
Jackson St. (SWAC),11,7-4,16,278,0,17.38
N.C. Central (MEAC),12,9-3,12,215,2,17.92
Alabama A&M (SWAC),11,5-6,21,380,2,18.10
Illinois St. (MVFC),11,6-5,3,55,0,18.33
Holy Cross (Patriot),11,7-4,6,112,1,18.67
Idaho (Big Sky),13,9-4,4,92,0,23.00
St. Thomas (MN) (Pioneer),11,8-3,11,42,0,3.82
Lindenwood (OVC),10,3-7,14,81,0,5.79
Tex. A&M-Commerce (Southland),10,1-9,19,110,0,5.79
Tarleton St. (ASUN),11,8-3,4,33,0,8.25
Utah Tech (ASUN),11,2-9,12,110,1,9.17
Stonehill (NEC),10,5-5,22,223,3,10.14
