Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Alabama A&M (SWAC),11,5-6,402,1689,4.20,22,153.5
Towson (CAA),11,5-6,360,1688,4.69,17,153.5
Northern Ariz. (Big Sky),11,5-6,413,1687,4.08,22,153.4
Austin Peay (ASUN),12,9-3,444,1832,4.13,18,152.7
Fordham (Patriot),11,6-5,398,1676,4.21,16,152.4
Sacred Heart (NEC),11,2-9,452,1659,3.67,9,150.8
Campbell (CAA),11,5-6,402,1647,4.10,22,149.7
Abilene Christian (ASUN),11,5-6,356,1641,4.61,14,149.2
Duquesne (NEC),12,7-5,416,1785,4.29,17,148.8
Southeastern La. (Southland),11,3-8,384,1634,4.26,20,148.5
Lamar University (Southland),11,6-5,430,1628,3.79,16,148.0
Tennessee St. (OVC),11,6-5,420,1625,3.87,21,147.7
Mercer (SoCon),13,9-4,510,1913,3.75,23,147.2
South Dakota (MVFC),13,10-3,413,1877,4.54,23,144.4
Florida A&M (SWAC),12,11-1,378,1727,4.57,23,143.9
Georgetown (Patriot),11,5-6,378,1579,4.18,13,143.5
SFA (ASUN),11,3-8,366,1560,4.26,14,141.8
Alcorn (SWAC),11,7-4,350,1540,4.40,12,140.0
Chattanooga (SoCon),13,8-5,476,1810,3.80,16,139.2
Weber St. (Big Sky),11,6-5,380,1524,4.01,17,138.5
Samford (SoCon),11,6-5,371,1519,4.09,24,138.1
Ark.-Pine Bluff (SWAC),11,2-9,405,1488,3.67,12,135.3
Wagner (NEC),11,4-7,386,1485,3.85,10,135.0
Rhode Island (CAA),11,6-5,358,1466,4.09,21,133.3
Richmond (CAA),13,9-4,446,1713,3.84,15,131.8
McNeese (Southland),10,0-10,308,1310,4.25,12,131.0
Columbia (Ivy League),10,3-7,351,1290,3.68,11,129.0
Elon (CAA),11,6-5,396,1418,3.58,10,128.9
UAlbany (CAA),14,11-3,473,1763,3.73,15,125.9
Tennessee Tech (OVC),11,4-7,429,1384,3.23,10,125.8
Southeast Mo. St. (OVC),11,4-7,377,1383,3.67,18,125.7
Bethune-Cookman (SWAC),11,3-8,410,1365,3.33,14,124.1
Wofford (SoCon),11,2-9,370,1364,3.69,10,124.0
Eastern Ill. (OVC),11,8-3,374,1362,3.64,16,123.8
The Citadel (SoCon),11,0-11,394,1357,3.44,6,123.4
Colgate (Patriot),11,6-5,404,1354,3.35,17,123.1
San Diego (Pioneer),11,4-7,388,1348,3.47,12,122.5
Presbyterian (Pioneer),11,4-7,344,1345,3.91,8,122.3
Indiana St. (MVFC),11,1-10,390,1324,3.39,8,120.4
VMI (SoCon),11,5-6,403,1296,3.22,15,117.8
Southern Ill. (MVFC),13,8-5,423,1531,3.62,23,117.8
New Hampshire (CAA),11,6-5,319,1282,4.02,18,116.5
Bryant (OVC),11,6-5,342,1275,3.73,14,115.9
Murray St. (MVFC),11,2-9,355,1270,3.58,7,115.5
Penn (Ivy League),10,6-4,277,1150,4.15,14,115.0
UNI (MVFC),11,6-5,363,1248,3.44,16,113.5
Lehigh (Patriot),11,2-9,304,1236,4.07,11,112.4
Morgan St. (MEAC),10,4-6,359,1121,3.12,8,112.1
Southern U. (SWAC),11,6-5,360,1231,3.42,16,111.9
Northern Colo. (Big Sky),11,0-11,356,1221,3.43,7,111.0
Bucknell (Patriot),11,4-7,389,1216,3.13,13,110.5
Alabama St. (SWAC),11,7-4,348,1213,3.49,10,110.3
Delaware St. (MEAC),11,1-10,334,1205,3.61,8,109.5
Charleston So. (OVC),11,4-7,358,1193,3.33,9,108.5
Cornell (Ivy League),10,3-7,333,1062,3.19,9,106.2
Stony Brook (CAA),10,0-10,286,1041,3.64,5,104.1
Princeton (Ivy League),10,5-5,324,1030,3.18,13,103.0
Drake (Pioneer),12,8-4,374,1207,3.23,10,100.6
Missouri St. (MVFC),11,4-7,305,1106,3.63,12,100.5
Marist (Pioneer),11,4-7,346,1098,3.17,8,99.8
Northwestern St. (Southland),6,0-6,230,591,2.57,5,98.5
Robert Morris (OVC),11,4-7,360,1075,2.99,8,97.7
Valparaiso (Pioneer),11,3-8,348,1069,3.07,8,97.2
Stetson (Pioneer),11,3-8,363,1059,2.92,16,96.3
Brown (Ivy League),10,5-5,312,962,3.08,13,96.2
Mississippi Val. (SWAC),11,1-10,390,993,2.55,8,90.3
Morehead St. (Pioneer),11,4-7,328,941,2.87,9,85.5
Maine (CAA),11,2-9,291,877,3.01,7,79.7
Cal Poly (Big Sky),11,3-8,307,827,2.69,6,75.2
Idaho St. (Big Sky),11,3-8,243,652,2.68,14,59.3
Western Ill. (MVFC),11,0-11,344,524,1.52,5,47.6
Tarleton St. (ASUN),11,8-3,425,2204,5.19,25,200.4
St. Thomas (MN) (Pioneer),11,8-3,412,1917,4.65,23,174.3
Stonehill (NEC),10,5-5,399,1661,4.16,16,166.1
Lindenwood (OVC),10,3-7,351,1343,3.83,9,134.3
Utah Tech (ASUN),11,2-9,284,1277,4.50,8,116.1
Tex. A&M-Commerce (Southland),10,1-9,331,1054,3.18,9,105.4
