Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Montana (Big Sky),11,6-5,50,15,15,12,42,0.840
Sacramento St. (Big Sky),10,2-8,31,12,3,11,26,0.839
Robert Morris (NEC),11,2-9,37,12,17,2,31,0.838
South Dakota (MVFC),11,4-7,49,16,13,12,41,0.837
Southeastern La. (Southland),11,4-7,42,11,13,11,35,0.833
Chattanooga (SoCon),11,6-5,36,9,10,11,30,0.833
UT Martin (OVC),11,2-9,41,14,9,11,34,0.829
Prairie View (SWAC),11,5-6,41,11,15,8,34,0.829
Idaho St. (Big Sky),11,6-5,52,16,16,11,43,0.827
Saint Francis (PA) (NEC),11,4-7,40,9,15,9,33,0.825
Idaho (Big Sky),11,4-7,34,11,11,6,28,0.824
Illinois St. (MVFC),11,6-5,45,17,14,6,37,0.822
Portland St. (Big Sky),11,4-7,39,19,5,8,32,0.821
Abilene Christian (Southland),11,6-5,44,14,16,6,36,0.818
Norfolk St. (MEAC),11,4-7,33,9,9,9,27,0.818
Dartmouth (Ivy League),10,9-1,44,20,11,5,36,0.818
Valparaiso (Pioneer),11,2-9,38,12,12,7,31,0.816
Delaware (CAA),12,7-5,43,14,12,9,35,0.814
Murray St. (OVC),11,5-6,48,11,17,11,39,0.813
Dayton (Pioneer),11,6-5,48,26,7,6,39,0.813
Wofford (SoCon),13,9-4,48,26,2,11,39,0.813
Tennessee St. (OVC),9,4-5,42,9,13,12,34,0.810
Yale (Ivy League),10,5-5,42,17,10,7,34,0.810
Sam Houston (Southland),11,6-5,47,16,11,11,38,0.809
Jackson St. (SWAC),10,5-5,26,6,5,10,21,0.808
Austin Peay (OVC),11,5-6,36,18,8,3,29,0.806
Wagner (NEC),11,4-7,36,9,10,10,29,0.806
Morehead St. (Pioneer),11,3-8,46,22,12,3,37,0.804
Western Caro. (SoCon),11,3-8,50,14,13,13,40,0.800
Gardner-Webb (Big South),11,3-8,30,14,5,5,24,0.800
Charleston So. (Big South),11,5-6,25,11,2,7,20,0.800
Southern Ill. (MVFC),11,2-9,50,20,11,9,40,0.800
Columbia (Ivy League),10,6-4,35,11,8,9,28,0.800
Stony Brook (CAA),12,7-5,34,15,6,6,27,0.794
Central Ark. (Southland),11,6-5,38,11,7,12,30,0.789
Duquesne (NEC),13,9-4,52,21,11,9,41,0.788
Northern Colo. (Big Sky),11,2-9,33,12,10,4,26,0.788
Central Conn. St. (NEC),11,6-5,42,22,8,3,33,0.786
Maine (CAA),14,10-4,42,13,15,5,33,0.786
UIW (Southland),11,6-5,42,13,14,6,33,0.786
Mississippi Val. (SWAC),11,1-10,28,14,6,2,22,0.786
Towson (CAA),12,7-5,65,16,19,16,51,0.785
Florida A&M (MEAC),11,6-5,46,14,9,13,36,0.783
Southern Utah (Big Sky),11,1-10,45,21,7,7,35,0.778
Bethune-Cookman (MEAC),12,7-5,36,15,6,7,28,0.778
Hampton (FCS Independent),10,7-3,40,16,11,4,31,0.775
UAlbany (CAA),11,3-8,31,8,6,10,24,0.774
Missouri St. (MVFC),11,4-7,35,16,9,2,27,0.771
South Carolina St. (MEAC),11,5-6,30,18,1,4,23,0.767
Holy Cross (Patriot),11,5-6,33,12,8,5,25,0.758
Ark.-Pine Bluff (SWAC),11,2-9,37,10,6,12,28,0.757
Grambling (SWAC),11,6-5,36,11,5,11,27,0.750
Howard (MEAC),10,4-6,40,12,10,8,30,0.750
North Dakota (FCS Independent),11,6-5,44,15,11,7,33,0.750
Northern Ariz. (Big Sky),10,4-6,36,13,8,6,27,0.750
Houston Christian (Southland),11,1-10,40,7,17,6,30,0.750
Richmond (CAA),11,4-7,35,10,5,11,26,0.743
Eastern Ky. (OVC),11,7-4,50,17,10,10,37,0.740
Penn (Ivy League),10,6-4,34,11,6,8,25,0.735
Western Ill. (MVFC),11,5-6,34,7,12,6,25,0.735
SFA (Southland),10,2-8,30,7,9,6,22,0.733
Alabama A&M (SWAC),11,6-5,41,12,12,6,30,0.732
Marist (Pioneer),11,5-6,33,9,11,4,24,0.727
McNeese (Southland),11,6-5,40,6,9,14,29,0.725
Tennessee Tech (OVC),11,1-10,29,5,8,8,21,0.724
Southern U. (SWAC),11,7-4,36,13,7,6,26,0.722
VMI (SoCon),11,1-10,39,11,13,4,28,0.718
Bucknell (Patriot),11,1-10,24,5,6,6,17,0.708
Brown (Ivy League),10,1-9,24,6,4,7,17,0.708
Lehigh (Patriot),11,3-8,24,8,3,6,17,0.708
Presbyterian (Big South),10,2-8,17,5,5,2,12,0.706
Northwestern St. (Southland),11,5-6,44,8,19,4,31,0.705
Cornell (Ivy League),10,3-7,20,7,5,2,14,0.700
Youngstown St. (MVFC),11,4-7,42,13,8,8,29,0.690
Lafayette (Patriot),11,3-8,22,7,4,4,15,0.682
Villanova (CAA),11,5-6,47,17,10,5,32,0.681
Texas Southern (SWAC),11,2-9,29,5,11,3,19,0.655
Savannah St. (MEAC),10,2-8,26,11,4,2,17,0.654
Delaware St. (MEAC),11,3-8,31,7,6,7,20,0.645
Bryant (NEC),11,6-5,46,17,11,1,29,0.630
New Hampshire (CAA),11,4-7,27,8,4,5,17,0.630
Campbell (Big South),11,6-5,27,12,3,2,17,0.630
Georgetown (Patriot),11,5-6,24,9,3,3,15,0.625
Alabama St. (SWAC),11,4-7,29,5,5,7,17,0.586
William & Mary (CAA),10,4-6,25,5,4,5,14,0.560
North Ala. (FCS Independent),10,7-3,35,12,8,13,33,0.943
