Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Gardner-Webb (Big South),11,3-8,56,53,0,0,6,0,407,37.0
Idaho (Big Sky),11,4-7,56,50,1,0,8,0,412,37.5
Jacksonville (Pioneer),10,2-8,51,47,1,1,10,0,387,38.7
Wagner (NEC),11,4-7,59,51,3,0,8,1,437,39.7
Eastern Ill. (OVC),11,3-8,57,53,1,0,16,0,445,40.5
Bryant (NEC),11,6-5,61,48,3,1,8,0,446,40.5
Southern Ill. (MVFC),11,2-9,59,54,1,0,12,1,448,40.7
Davidson (Pioneer),11,6-5,62,47,6,0,6,0,449,40.8
Western Caro. (SoCon),11,3-8,59,52,2,0,13,1,451,41.0
Southern Utah (Big Sky),11,1-10,58,55,1,0,17,0,456,41.5
Mississippi Val. (SWAC),11,1-10,63,55,2,1,9,0,466,42.4
Morehead St. (Pioneer),11,3-8,66,58,2,1,5,0,475,43.2
Ark.-Pine Bluff (SWAC),11,2-9,65,61,0,0,8,0,475,43.2
Robert Morris (NEC),11,2-9,64,59,0,0,11,1,478,43.5
Houston Christian (Southland),11,1-10,65,62,1,0,9,0,481,43.7
Tennessee Tech (OVC),11,1-10,67,66,0,0,13,0,507,46.1
VMI (SoCon),11,1-10,71,69,0,0,11,1,530,48.2
North Ala. (FCS Independent),10,7-3,32,29,1,0,6,1,243,24.3
