Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Cal Poly (Big Sky),11,5-6,12,25,0.480
Wofford (SoCon),13,9-4,9,19,0.474
Villanova (CAA),11,5-6,9,19,0.474
Bryant (NEC),11,6-5,17,36,0.472
Youngstown St. (MVFC),11,4-7,8,17,0.471
VMI (SoCon),11,1-10,21,45,0.467
Idaho St. (Big Sky),11,6-5,7,15,0.467
Alcorn (SWAC),13,9-4,6,13,0.462
Presbyterian (Big South),10,2-8,6,13,0.462
Delaware St. (MEAC),11,3-8,15,33,0.455
Montana (Big Sky),11,6-5,5,11,0.455
Butler (Pioneer),11,4-7,9,20,0.450
Monmouth (Big South),11,8-3,9,20,0.450
Montana St. (Big Sky),13,8-5,9,20,0.450
Northern Colo. (Big Sky),11,2-9,12,27,0.444
UIW (Southland),11,6-5,8,18,0.444
Duquesne (NEC),13,9-4,8,18,0.444
Hampton (FCS Independent),10,7-3,4,9,0.444
Drake (Pioneer),11,7-4,7,16,0.438
Texas Southern (SWAC),11,2-9,7,16,0.438
Chattanooga (SoCon),11,6-5,7,16,0.438
Southern U. (SWAC),11,7-4,7,16,0.438
Mississippi Val. (SWAC),11,1-10,13,30,0.433
Yale (Ivy League),10,5-5,6,14,0.429
Richmond (CAA),11,4-7,6,14,0.429
Charleston So. (Big South),11,5-6,6,14,0.429
Murray St. (OVC),11,5-6,6,14,0.429
UAlbany (CAA),11,3-8,3,7,0.429
Eastern Wash. (Big Sky),15,12-3,11,26,0.423
Stony Brook (CAA),12,7-5,8,19,0.421
Savannah St. (MEAC),10,2-8,8,19,0.421
Alabama St. (SWAC),11,4-7,7,17,0.412
South Dakota (MVFC),11,4-7,9,22,0.409
Towson (CAA),12,7-5,10,25,0.400
South Dakota St. (MVFC),13,10-3,4,10,0.400
UT Martin (OVC),11,2-9,11,28,0.393
Lehigh (Patriot),11,3-8,7,18,0.389
Gardner-Webb (Big South),11,3-8,5,13,0.385
Lafayette (Patriot),11,3-8,9,24,0.375
Campbell (Big South),11,6-5,7,19,0.368
Cornell (Ivy League),10,3-7,11,30,0.367
Prairie View (SWAC),11,5-6,8,22,0.364
Howard (MEAC),10,4-6,13,36,0.361
Alabama A&M (SWAC),11,6-5,9,25,0.360
Morgan St. (MEAC),11,4-7,5,14,0.357
North Dakota (FCS Independent),11,6-5,5,14,0.357
Jackson St. (SWAC),10,5-5,5,14,0.357
Fordham (Patriot),11,2-9,6,17,0.353
Wagner (NEC),11,4-7,9,26,0.346
Central Ark. (Southland),11,6-5,7,21,0.333
Austin Peay (OVC),11,5-6,7,21,0.333
Sam Houston (Southland),11,6-5,7,21,0.333
New Hampshire (CAA),11,4-7,7,21,0.333
Morehead St. (Pioneer),11,3-8,7,21,0.333
Elon (CAA),11,6-5,6,18,0.333
Dayton (Pioneer),11,6-5,5,15,0.333
Nicholls (Southland),13,9-4,5,15,0.333
Marist (Pioneer),11,5-6,5,15,0.333
Georgetown (Patriot),11,5-6,6,19,0.316
South Carolina St. (MEAC),11,5-6,4,13,0.308
Houston Christian (Southland),11,1-10,6,20,0.300
Western Ill. (MVFC),11,5-6,4,14,0.286
Harvard (Ivy League),10,6-4,5,18,0.278
Brown (Ivy League),10,1-9,6,22,0.273
Bucknell (Patriot),11,1-10,5,19,0.263
Delaware (CAA),12,7-5,4,17,0.235
SFA (Southland),10,2-8,5,23,0.217
Norfolk St. (MEAC),11,4-7,3,15,0.200
Penn (Ivy League),10,6-4,0,8,0.000
North Ala. (FCS Independent),10,7-3,6,10,0.600
