Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Southeast Mo. St. (OVC),13,9-4,60,50,333,85,6.5
Southern Ill. (MVFC),11,2-9,55,32,278,71,6.5
Sacred Heart (NEC),11,7-4,61,20,269,71,6.5
Campbell (Big South),11,6-5,51,38,276,70,6.4
South Dakota (MVFC),11,4-7,59,22,263,70,6.4
Delaware St. (MEAC),11,3-8,52,36,225,70,6.4
Jackson St. (SWAC),10,5-5,50,26,274,63,6.3
Sacramento St. (Big Sky),10,2-8,46,34,222,63,6.3
Florida A&M (MEAC),11,6-5,54,30,219,69,6.3
Bryant (NEC),11,6-5,56,26,243,69,6.3
Towson (CAA),12,7-5,53,44,286,75,6.3
San Diego (Pioneer),12,9-3,56,38,288,75,6.3
South Dakota St. (MVFC),13,10-3,64,34,274,81,6.2
Bethune-Cookman (MEAC),12,7-5,51,46,275,74,6.2
Harvard (Ivy League),10,6-4,47,28,225,61,6.1
Illinois St. (MVFC),11,6-5,52,30,257,67,6.1
Missouri St. (MVFC),11,4-7,45,44,262,67,6.1
Lamar University (Southland),12,7-5,61,22,327,72,6.0
Idaho (Big Sky),11,4-7,57,18,264,66,6.0
Central Conn. St. (NEC),11,6-5,46,40,254,66,6.0
Yale (Ivy League),10,5-5,55,10,293,60,6.0
Columbia (Ivy League),10,6-4,41,38,244,60,6.0
Princeton (Ivy League),10,10-0,42,36,254,60,6.0
Eastern Wash. (Big Sky),15,12-3,71,36,350,89,5.9
Portland St. (Big Sky),11,4-7,49,32,257,65,5.9
Furman (SoCon),10,6-4,39,40,185,59,5.9
Eastern Ill. (OVC),11,3-8,49,31,173,65,5.9
Southeastern La. (Southland),11,4-7,57,14,230,64,5.8
Villanova (CAA),11,5-6,46,36,266,64,5.8
Murray St. (OVC),11,5-6,50,28,237,64,5.8
SFA (Southland),10,2-8,40,36,186,58,5.8
Rhode Island (CAA),11,6-5,44,38,268,63,5.7
William & Mary (CAA),10,4-6,40,34,171,57,5.7
UNI (MVFC),13,7-6,55,38,285,74,5.7
Western Caro. (SoCon),11,3-8,52,20,263,62,5.6
Mississippi Val. (SWAC),11,1-10,37,50,234,62,5.6
Stetson (Pioneer),10,8-2,42,28,215,56,5.6
Marist (Pioneer),11,5-6,39,44,203,61,5.5
Monmouth (Big South),11,8-3,47,28,204,61,5.5
Samford (SoCon),11,6-5,49,24,193,61,5.5
Norfolk St. (MEAC),11,4-7,45,32,211,61,5.5
Duquesne (NEC),13,9-4,53,38,255,72,5.5
Montana St. (Big Sky),13,8-5,62,18,233,71,5.5
Mercer (SoCon),11,5-6,48,24,203,60,5.5
Morgan St. (MEAC),11,4-7,51,18,252,60,5.5
Southern Utah (Big Sky),11,1-10,46,28,180,60,5.5
Lehigh (Patriot),11,3-8,48,24,220,60,5.5
Howard (MEAC),10,4-6,46,17,188,55,5.5
Wofford (SoCon),13,9-4,58,24,286,70,5.4
Lafayette (Patriot),11,3-8,46,24,204,58,5.3
Chattanooga (SoCon),11,6-5,41,32,230,57,5.2
Northern Colo. (Big Sky),11,2-9,41,32,193,57,5.2
Cornell (Ivy League),10,3-7,37,28,214,51,5.1
Eastern Ky. (OVC),11,7-4,38,34,219,55,5.0
Indiana St. (MVFC),11,7-4,40,30,181,55,5.0
Montana (Big Sky),11,6-5,37,36,230,55,5.0
Tennessee Tech (OVC),11,1-10,36,35,188,54,4.9
Delaware (CAA),12,7-5,43,30,253,58,4.8
VMI (SoCon),11,1-10,34,36,185,52,4.7
Butler (Pioneer),11,4-7,42,20,138,52,4.7
UAlbany (CAA),11,3-8,39,26,236,52,4.7
Morehead St. (Pioneer),11,3-8,40,24,155,52,4.7
Dayton (Pioneer),11,6-5,36,30,176,51,4.6
Youngstown St. (MVFC),11,4-7,42,18,233,51,4.6
Brown (Ivy League),10,1-9,33,26,135,46,4.6
Presbyterian (Big South),10,2-8,35,20,159,45,4.5
Cal Poly (Big Sky),11,5-6,38,18,175,47,4.3
Texas Southern (SWAC),11,2-9,33,28,171,47,4.3
Valparaiso (Pioneer),11,2-9,28,36,146,46,4.2
Robert Morris (NEC),11,2-9,34,24,113,46,4.2
Jacksonville (Pioneer),10,2-8,29,24,141,41,4.1
Idaho St. (Big Sky),11,6-5,37,14,168,44,4.0
Davidson (Pioneer),11,6-5,28,28,180,42,3.8
Gardner-Webb (Big South),11,3-8,29,12,127,35,3.2
North Ala. (FCS Independent),10,7-3,43,32,175,59,5.9
