Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Wofford (SoCon),13,9-4,14,28,0.500
Sam Houston (Southland),11,6-5,15,30,0.500
Samford (SoCon),11,6-5,10,20,0.500
UT Martin (OVC),11,2-9,9,18,0.500
UC Davis (Big Sky),13,10-3,15,29,0.517
Central Ark. (Southland),11,6-5,14,27,0.519
Idaho (Big Sky),11,4-7,14,27,0.519
South Dakota St. (MVFC),13,10-3,10,19,0.526
Indiana St. (MVFC),11,7-4,9,17,0.529
North Dakota (FCS Independent),11,6-5,9,17,0.529
Yale (Ivy League),10,5-5,8,15,0.533
Butler (Pioneer),11,4-7,8,15,0.533
Eastern Ill. (OVC),11,3-8,6,11,0.545
Lamar University (Southland),12,7-5,11,20,0.550
Chattanooga (SoCon),11,6-5,15,27,0.556
Portland St. (Big Sky),11,4-7,10,18,0.556
VMI (SoCon),11,1-10,9,16,0.563
Dayton (Pioneer),11,6-5,9,16,0.563
Western Ill. (MVFC),11,5-6,8,14,0.571
South Carolina St. (MEAC),11,5-6,12,21,0.571
Murray St. (OVC),11,5-6,15,26,0.577
Southern Utah (Big Sky),11,1-10,7,12,0.583
Robert Morris (NEC),11,2-9,10,17,0.588
Davidson (Pioneer),11,6-5,20,34,0.588
Western Caro. (SoCon),11,3-8,13,22,0.591
Houston Christian (Southland),11,1-10,13,22,0.591
Northern Colo. (Big Sky),11,2-9,13,22,0.591
Mercer (SoCon),11,5-6,19,32,0.594
Villanova (CAA),11,5-6,9,15,0.600
Idaho St. (Big Sky),11,6-5,14,23,0.609
UAlbany (CAA),11,3-8,8,13,0.615
Presbyterian (Big South),10,2-8,8,13,0.615
New Hampshire (CAA),11,4-7,10,16,0.625
Jacksonville (Pioneer),10,2-8,10,16,0.625
Holy Cross (Patriot),11,5-6,15,24,0.625
Monmouth (Big South),11,8-3,12,19,0.632
Montana (Big Sky),11,6-5,14,22,0.636
Howard (MEAC),10,4-6,14,22,0.636
Lehigh (Patriot),11,3-8,16,25,0.640
Mississippi Val. (SWAC),11,1-10,11,17,0.647
South Dakota (MVFC),11,4-7,13,20,0.650
Prairie View (SWAC),11,5-6,10,15,0.667
Southern Ill. (MVFC),11,2-9,8,12,0.667
Northern Ariz. (Big Sky),10,4-6,11,16,0.688
Marist (Pioneer),11,5-6,18,26,0.692
Morehead St. (Pioneer),11,3-8,9,13,0.692
Tennessee Tech (OVC),11,1-10,10,14,0.714
Bryant (NEC),11,6-5,13,18,0.722
Richmond (CAA),11,4-7,8,11,0.727
Lafayette (Patriot),11,3-8,11,15,0.733
Jacksonville St. (OVC),13,9-4,12,16,0.750
Sacramento St. (Big Sky),10,2-8,10,13,0.769
Bethune-Cookman (MEAC),12,7-5,21,27,0.778
North Ala. (FCS Independent),10,7-3,7,13,0.538
