Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Nicholls (Southland),13,9-4,25,140,1.92
James Madison (CAA),13,9-4,26,193,2.00
Furman (SoCon),10,6-4,20,115,2.00
North Dakota (FCS Independent),11,6-5,22,179,2.00
Morgan St. (MEAC),11,4-7,22,117,2.00
Eastern Ill. (OVC),11,3-8,22,151,2.00
Maine (CAA),14,10-4,28,186,2.00
Lehigh (Patriot),11,3-8,22,137,2.00
Weber St. (Big Sky),13,10-3,27,183,2.08
Bryant (NEC),11,6-5,23,140,2.09
Tennessee Tech (OVC),11,1-10,23,133,2.09
Northwestern St. (Southland),11,5-6,23,143,2.09
Monmouth (Big South),11,8-3,23,168,2.09
Howard (MEAC),10,4-6,21,115,2.10
Yale (Ivy League),10,5-5,21,105,2.10
Jackson St. (SWAC),10,5-5,21,153,2.10
Mercer (SoCon),11,5-6,24,158,2.18
Western Caro. (SoCon),11,3-8,24,132,2.18
Southeast Mo. St. (OVC),13,9-4,29,183,2.23
Delaware (CAA),12,7-5,27,177,2.25
Missouri St. (MVFC),11,4-7,25,164,2.27
Georgetown (Patriot),11,5-6,25,161,2.27
Montana (Big Sky),11,6-5,25,161,2.27
Sacramento St. (Big Sky),10,2-8,23,127,2.30
Duquesne (NEC),13,9-4,30,172,2.31
Charleston So. (Big South),11,5-6,26,159,2.36
Alabama St. (SWAC),11,4-7,26,156,2.36
Portland St. (Big Sky),11,4-7,26,176,2.36
Morehead St. (Pioneer),11,3-8,26,129,2.36
UIW (Southland),11,6-5,26,153,2.36
UT Martin (OVC),11,2-9,26,126,2.36
Lamar University (Southland),12,7-5,29,159,2.42
Eastern Ky. (OVC),11,7-4,27,147,2.45
ETSU (SoCon),12,8-4,30,156,2.50
Colgate (Patriot),12,10-2,30,199,2.50
Alabama A&M (SWAC),11,6-5,28,176,2.55
Holy Cross (Patriot),11,5-6,30,197,2.73
Marist (Pioneer),11,5-6,30,212,2.73
Idaho St. (Big Sky),11,6-5,31,176,2.82
Southeastern La. (Southland),11,4-7,31,214,2.82
Southern U. (SWAC),11,7-4,31,146,2.82
William & Mary (CAA),10,4-6,29,215,2.90
Prairie View (SWAC),11,5-6,32,186,2.91
Villanova (CAA),11,5-6,32,234,2.91
Towson (CAA),12,7-5,35,219,2.92
Savannah St. (MEAC),10,2-8,30,201,3.00
UAlbany (CAA),11,3-8,35,242,3.18
Sam Houston (Southland),11,6-5,35,226,3.18
McNeese (Southland),11,6-5,35,218,3.18
South Dakota (MVFC),11,4-7,35,222,3.18
Texas Southern (SWAC),11,2-9,36,251,3.27
Gardner-Webb (Big South),11,3-8,37,236,3.36
New Hampshire (CAA),11,4-7,37,240,3.36
Rhode Island (CAA),11,6-5,38,213,3.45
Drake (Pioneer),11,7-4,39,269,3.55
Bucknell (Patriot),11,1-10,39,272,3.55
SFA (Southland),10,2-8,37,218,3.70
Mississippi Val. (SWAC),11,1-10,41,233,3.73
Grambling (SWAC),11,6-5,41,265,3.73
Houston Christian (Southland),11,1-10,44,275,4.00
Northern Colo. (Big Sky),11,2-9,46,299,4.18
VMI (SoCon),11,1-10,50,324,4.55
Fordham (Patriot),11,2-9,50,372,4.55
Brown (Ivy League),10,1-9,46,293,4.60
North Ala. (FCS Independent),10,7-3,19,125,1.90
