Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Southern Ill. (MVFC),11,2-9,57,140,0.407
ETSU (SoCon),12,8-4,69,169,0.408
Portland St. (Big Sky),11,4-7,57,139,0.410
Presbyterian (Big South),10,2-8,55,133,0.414
UIW (Southland),11,6-5,70,169,0.414
Idaho (Big Sky),11,4-7,66,159,0.415
Montana St. (Big Sky),13,8-5,82,196,0.418
Idaho St. (Big Sky),11,6-5,76,177,0.429
Brown (Ivy League),10,1-9,57,130,0.438
Indiana St. (MVFC),11,7-4,68,155,0.439
Cornell (Ivy League),10,3-7,60,136,0.441
Houston Christian (Southland),11,1-10,79,177,0.446
Mississippi Val. (SWAC),11,1-10,68,152,0.447
Western Caro. (SoCon),11,3-8,67,149,0.450
Tennessee St. (OVC),9,4-5,59,131,0.450
Eastern Ill. (OVC),11,3-8,75,165,0.455
Missouri St. (MVFC),11,4-7,77,167,0.461
Robert Morris (NEC),11,2-9,63,136,0.463
Mercer (SoCon),11,5-6,76,164,0.463
Northwestern St. (Southland),11,5-6,76,164,0.463
Morehead St. (Pioneer),11,3-8,62,133,0.466
Lafayette (Patriot),11,3-8,73,156,0.468
Dayton (Pioneer),11,6-5,72,153,0.471
Murray St. (OVC),11,5-6,84,178,0.472
Gardner-Webb (Big South),11,3-8,70,148,0.473
San Diego (Pioneer),12,9-3,87,180,0.483
VMI (SoCon),11,1-10,75,153,0.490
Valparaiso (Pioneer),11,2-9,73,148,0.493
Jacksonville (Pioneer),10,2-8,55,109,0.505
Southern Utah (Big Sky),11,1-10,75,147,0.510
Tennessee Tech (OVC),11,1-10,77,148,0.520
Sacramento St. (Big Sky),10,2-8,77,146,0.527
Butler (Pioneer),11,4-7,75,140,0.536
North Ala. (FCS Independent),10,7-3,52,132,0.394
