Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Columbia (Ivy League),10,6-4,709,3063,4.32,25,306.3
Lehigh (Patriot),11,3-8,720,3322,4.61,22,302.0
Delaware (CAA),12,7-5,754,3605,4.78,33,300.4
South Carolina St. (MEAC),11,5-6,694,3227,4.65,25,293.4
Saint Francis (PA) (NEC),11,4-7,710,3217,4.53,33,292.5
Gardner-Webb (Big South),11,3-8,707,3204,4.53,26,291.3
McNeese (Southland),11,6-5,736,3200,4.35,22,290.9
Brown (Ivy League),10,1-9,625,2855,4.57,17,285.5
New Hampshire (CAA),11,4-7,724,3114,4.30,21,283.1
Jackson St. (SWAC),10,5-5,622,2741,4.41,15,274.1
Presbyterian (Big South),10,2-8,603,2726,4.52,18,272.6
Alabama St. (SWAC),11,4-7,739,2964,4.01,19,269.5
Mississippi Val. (SWAC),11,1-10,725,2952,4.07,29,268.4
Lafayette (Patriot),11,3-8,677,2839,4.19,15,258.1
Fordham (Patriot),11,2-9,708,2766,3.91,21,251.5
Charleston So. (Big South),11,5-6,592,2766,4.67,22,251.5
Georgetown (Patriot),11,5-6,696,2743,3.94,19,249.4
William & Mary (CAA),10,4-6,605,2415,3.99,14,241.5
Savannah St. (MEAC),10,2-8,623,2375,3.81,17,237.5
Bucknell (Patriot),11,1-10,715,2497,3.49,16,227.0
North Ala. (FCS Independent),10,7-3,668,3903,5.84,29,390.3
