Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Gardner-Webb (Big South),11,3-8,160,60,0.375
Missouri St. (MVFC),11,4-7,155,58,0.374
Stony Brook (CAA),12,7-5,174,65,0.374
Marist (Pioneer),11,5-6,135,50,0.370
ETSU (SoCon),12,8-4,166,61,0.367
Elon (CAA),11,6-5,161,59,0.366
Norfolk St. (MEAC),11,4-7,134,49,0.366
Youngstown St. (MVFC),11,4-7,159,58,0.365
Alcorn (SWAC),13,9-4,181,66,0.365
N.C. A&T (MEAC),12,10-2,162,59,0.364
New Hampshire (CAA),11,4-7,166,60,0.361
Florida A&M (MEAC),11,6-5,147,53,0.361
Southeastern La. (Southland),11,4-7,172,62,0.360
Sam Houston (Southland),11,6-5,175,63,0.360
Colgate (Patriot),12,10-2,156,56,0.359
Drake (Pioneer),11,7-4,156,56,0.359
Mercer (SoCon),11,5-6,131,47,0.359
Illinois St. (MVFC),11,6-5,143,51,0.357
Northern Colo. (Big Sky),11,2-9,169,60,0.355
San Diego (Pioneer),12,9-3,148,52,0.351
Sacramento St. (Big Sky),10,2-8,134,47,0.351
Southeast Mo. St. (OVC),13,9-4,180,63,0.350
Northwestern St. (Southland),11,5-6,172,60,0.349
Tennessee Tech (OVC),11,1-10,175,61,0.349
Cornell (Ivy League),10,3-7,144,50,0.347
Lehigh (Patriot),11,3-8,165,57,0.345
Delaware (CAA),12,7-5,157,54,0.344
Maine (CAA),14,10-4,205,70,0.341
Saint Francis (PA) (NEC),11,4-7,162,55,0.340
Rhode Island (CAA),11,6-5,139,47,0.338
Montana St. (Big Sky),13,8-5,172,58,0.337
Valparaiso (Pioneer),11,2-9,137,46,0.336
UIW (Southland),11,6-5,149,50,0.336
Bryant (NEC),11,6-5,164,55,0.335
Morgan St. (MEAC),11,4-7,167,56,0.335
Presbyterian (Big South),10,2-8,138,46,0.333
VMI (SoCon),11,1-10,186,62,0.333
Prairie View (SWAC),11,5-6,146,48,0.329
Penn (Ivy League),10,6-4,135,44,0.326
Central Conn. St. (NEC),11,6-5,129,42,0.326
Alabama A&M (SWAC),11,6-5,151,49,0.325
Lafayette (Patriot),11,3-8,151,49,0.325
Austin Peay (OVC),11,5-6,148,48,0.324
SFA (Southland),10,2-8,167,54,0.323
Ark.-Pine Bluff (SWAC),11,2-9,187,60,0.321
Holy Cross (Patriot),11,5-6,157,48,0.306
Texas Southern (SWAC),11,2-9,157,48,0.306
Central Ark. (Southland),11,6-5,161,49,0.304
Columbia (Ivy League),10,6-4,158,48,0.304
Brown (Ivy League),10,1-9,149,45,0.302
Bethune-Cookman (MEAC),12,7-5,153,45,0.294
Delaware St. (MEAC),11,3-8,174,51,0.293
Wagner (NEC),11,4-7,165,48,0.291
Mississippi Val. (SWAC),11,1-10,153,44,0.288
Weber St. (Big Sky),13,10-3,186,53,0.285
UAlbany (CAA),11,3-8,138,39,0.283
Richmond (CAA),11,4-7,142,40,0.282
Alabama St. (SWAC),11,4-7,168,47,0.280
South Carolina St. (MEAC),11,5-6,140,38,0.271
William & Mary (CAA),10,4-6,140,38,0.271
Fordham (Patriot),11,2-9,167,45,0.269
McNeese (Southland),11,6-5,167,45,0.269
Bucknell (Patriot),11,1-10,172,46,0.267
Charleston So. (Big South),11,5-6,135,36,0.267
Georgetown (Patriot),11,5-6,161,42,0.261
Jackson St. (SWAC),10,5-5,142,37,0.261
N.C. Central (MEAC),11,5-6,163,41,0.252
Savannah St. (MEAC),10,2-8,135,32,0.237
North Ala. (FCS Independent),10,7-3,132,54,0.409
