Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
McNeese (Southland),11,6-5,26,23,1,0,16,0,229,20.8
Gardner-Webb (Big South),11,3-8,29,27,1,0,6,0,221,20.1
Mississippi Val. (SWAC),11,1-10,31,25,1,0,2,0,219,19.9
South Carolina St. (MEAC),11,5-6,29,23,0,0,6,0,215,19.5
Texas Southern (SWAC),11,2-9,29,26,1,0,3,0,211,19.2
Cornell (Ivy League),10,3-7,26,23,0,0,4,0,191,19.1
Norfolk St. (MEAC),11,4-7,26,19,1,0,10,0,207,18.8
Morgan St. (MEAC),11,4-7,25,17,3,0,11,0,206,18.7
Penn (Ivy League),10,6-4,22,21,0,0,11,0,186,18.6
SFA (Southland),10,2-8,22,22,0,0,9,0,181,18.1
Tennessee Tech (OVC),11,1-10,22,21,0,0,15,0,198,18.0
New Hampshire (CAA),11,4-7,26,25,0,0,5,0,196,17.8
Delaware St. (MEAC),11,3-8,23,20,0,0,8,1,184,16.7
Lehigh (Patriot),11,3-8,24,19,1,0,6,0,183,16.6
Jackson St. (SWAC),10,5-5,17,15,0,0,16,0,165,16.5
Fordham (Patriot),11,2-9,22,17,1,0,7,1,174,15.8
Georgetown (Patriot),11,5-6,22,16,3,1,4,2,172,15.6
Alabama St. (SWAC),11,4-7,20,17,1,0,8,3,169,15.4
Brown (Ivy League),10,1-9,18,14,0,0,7,0,143,14.3
Presbyterian (Big South),10,2-8,20,16,0,0,2,0,142,14.2
William & Mary (CAA),10,4-6,17,14,1,0,6,0,136,13.6
Savannah St. (MEAC),10,2-8,18,11,2,0,3,1,134,13.4
Bucknell (Patriot),11,1-10,19,13,1,0,6,0,147,13.4
Lafayette (Patriot),11,3-8,17,14,0,0,9,0,143,13.0
North Ala. (FCS Independent),10,7-3,29,25,2,0,18,1,259,25.9
