Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Abilene Christian (Southland),11,6-5,39,9,11,10,30,0.769
William & Mary (CAA),10,4-6,44,16,5,13,34,0.773
Butler (Pioneer),11,4-7,45,19,10,6,35,0.778
Northwestern St. (Southland),11,5-6,50,15,15,9,39,0.780
Weber St. (Big Sky),13,10-3,32,9,7,9,25,0.781
Columbia (Ivy League),10,6-4,32,12,7,6,25,0.781
Mississippi Val. (SWAC),11,1-10,60,27,13,7,47,0.783
Tennessee St. (OVC),9,4-5,37,10,14,5,29,0.784
Central Conn. St. (NEC),11,6-5,37,12,13,4,29,0.784
Richmond (CAA),11,4-7,42,12,12,9,33,0.786
Robert Morris (NEC),11,2-9,61,28,10,10,48,0.787
Maine (CAA),14,10-4,47,10,14,13,37,0.787
Harvard (Ivy League),10,6-4,29,8,6,9,23,0.793
James Madison (CAA),13,9-4,29,4,9,10,23,0.793
UAlbany (CAA),11,3-8,44,18,10,7,35,0.795
Texas Southern (SWAC),11,2-9,44,14,12,9,35,0.795
Missouri St. (MVFC),11,4-7,44,15,12,8,35,0.795
Lamar University (Southland),12,7-5,44,12,12,11,35,0.795
South Dakota (MVFC),11,4-7,49,10,21,8,39,0.796
Fordham (Patriot),11,2-9,40,16,9,7,32,0.800
Davidson (Pioneer),11,6-5,55,23,15,6,44,0.800
Yale (Ivy League),10,5-5,30,11,8,5,24,0.800
Indiana St. (MVFC),11,7-4,50,16,14,10,40,0.800
Saint Francis (PA) (NEC),11,4-7,30,6,8,10,24,0.800
UC Davis (Big Sky),13,10-3,56,17,16,12,45,0.804
N.C. Central (MEAC),11,5-6,46,12,15,10,37,0.804
Delaware (CAA),12,7-5,41,15,7,11,33,0.805
San Diego (Pioneer),12,9-3,36,17,7,5,29,0.806
Lehigh (Patriot),11,3-8,52,27,8,7,42,0.808
North Dakota (FCS Independent),11,6-5,37,11,8,11,30,0.811
Charleston So. (Big South),11,5-6,37,11,12,7,30,0.811
UIW (Southland),11,6-5,48,16,13,10,39,0.813
Furman (SoCon),10,6-4,32,9,11,6,26,0.813
Valparaiso (Pioneer),11,2-9,54,21,15,8,44,0.815
South Dakota St. (MVFC),13,10-3,38,15,9,7,31,0.816
Dayton (Pioneer),11,6-5,38,15,13,3,31,0.816
Bucknell (Patriot),11,1-10,38,21,4,6,31,0.816
Northern Colo. (Big Sky),11,2-9,61,30,13,7,50,0.820
Monmouth (Big South),11,8-3,34,16,10,2,28,0.824
Elon (CAA),11,6-5,40,12,10,11,33,0.825
Austin Peay (OVC),11,5-6,46,17,12,9,38,0.826
Murray St. (OVC),11,5-6,52,19,14,10,43,0.827
N.C. A&T (MEAC),12,10-2,29,3,6,15,24,0.828
Florida A&M (MEAC),11,6-5,35,14,9,6,29,0.829
Jacksonville St. (OVC),13,9-4,41,10,14,10,34,0.829
Bryant (NEC),11,6-5,54,22,15,8,45,0.833
Wagner (NEC),11,4-7,43,17,14,5,36,0.837
Western Ill. (MVFC),11,5-6,43,14,9,13,36,0.837
Southern Ill. (MVFC),11,2-9,56,23,13,11,47,0.839
Western Caro. (SoCon),11,3-8,50,25,7,10,42,0.840
McNeese (Southland),11,6-5,38,10,14,8,32,0.842
Georgetown (Patriot),11,5-6,38,16,4,12,32,0.842
UT Martin (OVC),11,2-9,45,15,10,13,38,0.844
Portland St. (Big Sky),11,4-7,46,21,13,5,39,0.848
Alabama A&M (SWAC),11,6-5,33,14,8,6,28,0.848
Southern U. (SWAC),11,7-4,33,13,8,7,28,0.848
Montana (Big Sky),11,6-5,40,18,10,6,34,0.850
Sacramento St. (Big Sky),10,2-8,47,20,11,9,40,0.851
The Citadel (SoCon),11,5-6,41,14,10,11,35,0.854
Central Ark. (Southland),11,6-5,41,16,9,10,35,0.854
Norfolk St. (MEAC),11,4-7,41,17,9,9,35,0.854
Howard (MEAC),10,4-6,48,19,10,12,41,0.854
Gardner-Webb (Big South),11,3-8,42,23,9,4,36,0.857
Villanova (CAA),11,5-6,35,13,8,9,30,0.857
Bethune-Cookman (MEAC),12,7-5,50,25,12,6,43,0.860
Delaware St. (MEAC),11,3-8,43,15,14,8,37,0.860
Rhode Island (CAA),11,6-5,44,17,12,9,38,0.864
Cal Poly (Big Sky),11,5-6,44,16,14,8,38,0.864
Prairie View (SWAC),11,5-6,44,21,6,11,38,0.864
Eastern Ky. (OVC),11,7-4,37,15,12,5,32,0.865
Idaho (Big Sky),11,4-7,45,16,16,7,39,0.867
Hampton (FCS Independent),10,7-3,30,10,9,7,26,0.867
New Hampshire (CAA),11,4-7,31,15,6,6,27,0.871
SFA (Southland),10,2-8,40,15,11,9,35,0.875
Youngstown St. (MVFC),11,4-7,32,14,7,7,28,0.875
Idaho St. (Big Sky),11,6-5,41,17,11,8,36,0.878
Towson (CAA),12,7-5,42,19,10,8,37,0.881
VMI (SoCon),11,1-10,61,34,10,10,54,0.885
Kennesaw St. (Big South),13,11-2,28,7,8,10,25,0.893
Southern Utah (Big Sky),11,1-10,56,19,14,17,50,0.893
Houston Christian (Southland),11,1-10,47,21,17,4,42,0.894
ETSU (SoCon),12,8-4,48,23,7,13,43,0.896
Tennessee Tech (OVC),11,1-10,52,20,15,12,47,0.904
Stetson (Pioneer),10,8-2,33,16,10,4,30,0.909
Lafayette (Patriot),11,3-8,45,22,11,8,41,0.911
Samford (SoCon),11,6-5,35,15,9,8,32,0.914
Morehead St. (Pioneer),11,3-8,49,27,15,3,45,0.918
Montana St. (Big Sky),13,8-5,52,28,10,10,48,0.923
Eastern Ill. (OVC),11,3-8,55,26,11,14,51,0.927
Northern Ariz. (Big Sky),10,4-6,32,14,7,9,30,0.938
Cornell (Ivy League),10,3-7,40,18,8,12,38,0.950
Jacksonville (Pioneer),10,2-8,49,27,12,10,49,1.000
North Ala. (FCS Independent),10,7-3,28,8,9,6,23,0.821
