Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Central Conn. St. (NEC),11,6-5,394,1487,3.77,17,135.2
Western Ill. (MVFC),11,5-6,433,1488,3.44,15,135.3
The Citadel (SoCon),11,5-6,345,1564,4.53,18,142.2
Tennessee St. (OVC),9,4-5,302,1284,4.25,13,142.7
Jackson St. (SWAC),10,5-5,380,1461,3.84,10,146.1
Columbia (Ivy League),10,6-4,340,1480,4.35,16,148.0
Lamar University (Southland),12,7-5,407,1776,4.36,15,148.0
Monmouth (Big South),11,8-3,381,1645,4.32,21,149.5
Richmond (CAA),11,4-7,433,1648,3.81,18,149.8
Florida A&M (MEAC),11,6-5,381,1671,4.39,15,151.9
UAlbany (CAA),11,3-8,409,1671,4.09,21,151.9
Eastern Ky. (OVC),11,7-4,383,1678,4.38,19,152.5
Morgan St. (MEAC),11,4-7,376,1693,4.50,17,153.9
Lafayette (Patriot),11,3-8,440,1697,3.86,24,154.3
Penn (Ivy League),10,6-4,407,1559,3.83,12,155.9
Furman (SoCon),10,6-4,353,1578,4.47,12,157.8
Marist (Pioneer),11,5-6,471,1750,3.72,18,159.1
Holy Cross (Patriot),11,5-6,427,1762,4.13,11,160.2
Chattanooga (SoCon),11,6-5,451,1773,3.93,15,161.2
Southern U. (SWAC),11,7-4,392,1791,4.57,20,162.8
Rhode Island (CAA),11,6-5,416,1793,4.31,21,163.0
Youngstown St. (MVFC),11,4-7,391,1821,4.66,20,165.5
Eastern Wash. (Big Sky),15,12-3,621,2484,4.00,23,165.6
Elon (CAA),11,6-5,432,1823,4.22,14,165.7
Yale (Ivy League),10,5-5,349,1664,4.77,20,166.4
Samford (SoCon),11,6-5,460,1857,4.04,18,168.8
Grambling (SWAC),11,6-5,433,1873,4.33,13,170.3
Bucknell (Patriot),11,1-10,481,1891,3.93,25,171.9
Delaware St. (MEAC),11,3-8,417,1893,4.54,20,172.1
Austin Peay (OVC),11,5-6,448,1900,4.24,19,172.7
William & Mary (CAA),10,4-6,399,1763,4.42,20,176.3
Savannah St. (MEAC),10,2-8,414,1777,4.29,22,177.7
Montana (Big Sky),11,6-5,475,1971,4.15,22,179.2
Dayton (Pioneer),11,6-5,427,1986,4.65,18,180.5
Duquesne (NEC),13,9-4,478,2362,4.94,20,181.7
Bethune-Cookman (MEAC),12,7-5,506,2194,4.34,29,182.8
Alabama A&M (SWAC),11,6-5,436,2014,4.62,18,183.1
Southeastern La. (Southland),11,4-7,444,2020,4.55,20,183.6
UIW (Southland),11,6-5,485,2023,4.17,18,183.9
Southeast Mo. St. (OVC),13,9-4,515,2391,4.64,17,183.9
Jacksonville (Pioneer),10,2-8,361,1849,5.12,28,184.9
Davidson (Pioneer),11,6-5,402,2035,5.06,30,185.0
Charleston So. (Big South),11,5-6,508,2039,4.01,12,185.4
UC Davis (Big Sky),13,10-3,590,2410,4.08,22,185.4
Sacred Heart (NEC),11,7-4,466,2059,4.42,18,187.2
Texas Southern (SWAC),11,2-9,408,2060,5.05,19,187.3
Towson (CAA),12,7-5,480,2249,4.69,24,187.4
South Dakota St. (MVFC),13,10-3,514,2447,4.76,20,188.2
Fordham (Patriot),11,2-9,485,2112,4.35,23,192.0
Cornell (Ivy League),10,3-7,409,1922,4.70,22,192.2
Montana St. (Big Sky),13,8-5,533,2531,4.75,33,194.7
Norfolk St. (MEAC),11,4-7,402,2147,5.34,19,195.2
Murray St. (OVC),11,5-6,472,2149,4.55,22,195.4
SFA (Southland),10,2-8,412,1964,4.77,20,196.4
Portland St. (Big Sky),11,4-7,408,2163,5.30,26,196.6
Indiana St. (MVFC),11,7-4,454,2174,4.79,18,197.6
Prairie View (SWAC),11,5-6,486,2184,4.49,24,198.5
N.C. Central (MEAC),11,5-6,456,2196,4.82,18,199.6
Northern Ariz. (Big Sky),10,4-6,432,2027,4.69,20,202.7
Idaho St. (Big Sky),11,6-5,464,2247,4.84,22,204.3
Northwestern St. (Southland),11,5-6,474,2262,4.77,19,205.6
Northern Colo. (Big Sky),11,2-9,480,2276,4.74,34,206.9
Houston Christian (Southland),11,1-10,512,2289,4.47,24,208.1
Sam Houston (Southland),11,6-5,499,2293,4.60,20,208.5
Wagner (NEC),11,4-7,435,2296,5.28,30,208.7
South Carolina St. (MEAC),11,5-6,474,2304,4.86,23,209.5
San Diego (Pioneer),12,9-3,441,2529,5.73,28,210.8
South Dakota (MVFC),11,4-7,446,2320,5.20,18,210.9
Campbell (Big South),11,6-5,446,2342,5.25,16,212.9
Idaho (Big Sky),11,4-7,448,2344,5.23,23,213.1
Valparaiso (Pioneer),11,2-9,526,2365,4.50,22,215.0
Eastern Ill. (OVC),11,3-8,487,2379,4.89,28,216.3
Stetson (Pioneer),10,8-2,403,2197,5.45,21,219.7
Mercer (SoCon),11,5-6,482,2423,5.03,16,220.3
Southern Ill. (MVFC),11,2-9,441,2434,5.52,31,221.3
Missouri St. (MVFC),11,4-7,471,2443,5.19,21,222.1
Lehigh (Patriot),11,3-8,483,2490,5.16,33,226.4
Bryant (NEC),11,6-5,470,2496,5.31,33,226.9
Western Caro. (SoCon),11,3-8,487,2514,5.16,32,228.5
Howard (MEAC),10,4-6,428,2302,5.38,22,230.2
Butler (Pioneer),11,4-7,444,2549,5.74,27,231.7
Mississippi Val. (SWAC),11,1-10,476,2582,5.42,32,234.7
Tennessee Tech (OVC),11,1-10,458,2610,5.70,32,237.3
Presbyterian (Big South),10,2-8,445,2461,5.53,24,246.1
Morehead St. (Pioneer),11,3-8,438,2713,6.19,36,246.6
Brown (Ivy League),10,1-9,470,2590,5.51,25,259.0
Ark.-Pine Bluff (SWAC),11,2-9,421,2863,6.80,34,260.3
Robert Morris (NEC),11,2-9,470,2867,6.10,40,260.6
Cal Poly (Big Sky),11,5-6,388,2914,7.51,32,264.9
VMI (SoCon),11,1-10,528,2920,5.53,41,265.5
Sacramento St. (Big Sky),10,2-8,438,2663,6.08,31,266.3
Southern Utah (Big Sky),11,1-10,481,2966,6.17,26,269.6
Alabama St. (SWAC),11,4-7,526,2979,5.66,31,270.8
Gardner-Webb (Big South),11,3-8,479,3162,6.60,35,287.5
North Ala. (FCS Independent),10,7-3,358,1590,4.44,13,159.0
