Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Alabama A&M (SWAC),11,6-5,106,94,21,221
Chattanooga (SoCon),11,6-5,97,104,22,223
SFA (Southland),10,2-8,92,99,32,223
Delaware (CAA),12,7-5,85,114,25,224
Marist (Pioneer),11,5-6,97,109,19,225
Austin Peay (OVC),11,5-6,100,101,24,225
Portland St. (Big Sky),11,4-7,103,102,20,225
Samford (SoCon),11,6-5,96,102,28,226
Southern U. (SWAC),11,7-4,93,107,27,227
Cal Poly (Big Sky),11,5-6,119,99,10,228
Howard (MEAC),10,4-6,115,103,11,229
Bethune-Cookman (MEAC),12,7-5,113,104,12,229
Texas Southern (SWAC),11,2-9,106,110,15,231
Ark.-Pine Bluff (SWAC),11,2-9,111,104,16,231
Dayton (Pioneer),11,6-5,109,107,16,232
Lehigh (Patriot),11,3-8,123,93,16,232
Bryant (NEC),11,6-5,108,113,12,233
Prairie View (SWAC),11,5-6,126,92,17,235
Nicholls (Southland),13,9-4,87,135,14,236
Towson (CAA),12,7-5,109,109,18,236
N.C. Central (MEAC),11,5-6,113,98,25,236
Grambling (SWAC),11,6-5,99,105,32,237
Montana (Big Sky),11,6-5,101,116,20,237
Alabama St. (SWAC),11,4-7,146,69,22,237
UNI (MVFC),13,7-6,92,127,19,238
Idaho (Big Sky),11,4-7,124,101,13,238
South Dakota St. (MVFC),13,10-3,112,104,22,238
Morehead St. (Pioneer),11,3-8,125,88,26,239
Sacramento St. (Big Sky),10,2-8,120,103,16,239
Butler (Pioneer),11,4-7,120,104,16,240
Sam Houston (Southland),11,6-5,130,97,14,241
Mississippi Val. (SWAC),11,1-10,127,97,18,242
ETSU (SoCon),12,8-4,98,119,26,243
Northern Colo. (Big Sky),11,2-9,110,110,24,244
South Dakota (MVFC),11,4-7,112,115,20,247
Idaho St. (Big Sky),11,6-5,111,122,15,248
Brown (Ivy League),10,1-9,133,100,17,250
Gardner-Webb (Big South),11,3-8,143,96,11,250
Southeastern La. (Southland),11,4-7,105,126,21,252
Maine (CAA),14,10-4,73,137,42,252
Indiana St. (MVFC),11,7-4,122,124,12,258
Davidson (Pioneer),11,6-5,103,134,22,259
San Diego (Pioneer),12,9-3,111,121,28,260
Southern Ill. (MVFC),11,2-9,117,114,29,260
UIW (Southland),11,6-5,109,124,27,260
Mercer (SoCon),11,5-6,120,121,19,260
Duquesne (NEC),13,9-4,117,112,31,260
Houston Christian (Southland),11,1-10,115,131,16,262
Missouri St. (MVFC),11,4-7,115,128,21,264
Montana St. (Big Sky),13,8-5,123,120,21,264
Valparaiso (Pioneer),11,2-9,139,111,16,266
Lamar University (Southland),12,7-5,89,154,27,270
Robert Morris (NEC),11,2-9,132,122,18,272
Murray St. (OVC),11,5-6,120,137,16,273
Northwestern St. (Southland),11,5-6,123,129,21,273
Western Caro. (SoCon),11,3-8,131,124,21,276
Southern Utah (Big Sky),11,1-10,128,133,17,278
Eastern Ill. (OVC),11,3-8,121,136,21,278
Tennessee Tech (OVC),11,1-10,134,126,19,279
VMI (SoCon),11,1-10,140,124,16,280
UC Davis (Big Sky),13,10-3,128,138,19,285
Southeast Mo. St. (OVC),13,9-4,120,175,36,331
Eastern Wash. (Big Sky),15,12-3,139,168,29,336
North Ala. (FCS Independent),10,7-3,81,90,19,190
