Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Idaho (Big Sky),11,4-7,400,1733,4.33,12,157.5
Bryant (NEC),11,6-5,416,1728,4.15,21,157.1
Tennessee St. (OVC),9,4-5,328,1406,4.29,11,156.2
Cornell (Ivy League),10,3-7,390,1561,4.00,13,156.1
Wagner (NEC),11,4-7,420,1691,4.03,15,153.7
ETSU (SoCon),12,8-4,413,1815,4.39,23,151.3
Alabama A&M (SWAC),11,6-5,365,1638,4.49,20,148.9
Villanova (CAA),11,5-6,432,1618,3.75,18,147.1
Mercer (SoCon),11,5-6,359,1614,4.50,19,146.7
Central Ark. (Southland),11,6-5,403,1600,3.97,14,145.5
UT Martin (OVC),11,2-9,407,1593,3.91,18,144.8
Weber St. (Big Sky),13,10-3,491,1827,3.72,19,140.5
Tennessee Tech (OVC),11,1-10,421,1542,3.66,7,140.2
Savannah St. (MEAC),10,2-8,433,1388,3.21,11,138.8
Holy Cross (Patriot),11,5-6,445,1526,3.43,14,138.7
Missouri St. (MVFC),11,4-7,404,1522,3.77,18,138.4
Robert Morris (NEC),11,2-9,389,1519,3.90,15,138.1
Eastern Ill. (OVC),11,3-8,328,1501,4.58,17,136.5
Gardner-Webb (Big South),11,3-8,407,1500,3.69,16,136.4
Butler (Pioneer),11,4-7,357,1500,4.20,15,136.4
Maine (CAA),14,10-4,496,1881,3.79,17,134.4
UNI (MVFC),13,7-6,497,1737,3.49,14,133.6
Murray St. (OVC),11,5-6,333,1444,4.34,13,131.3
Southeastern La. (Southland),11,4-7,393,1381,3.51,13,125.5
South Dakota (MVFC),11,4-7,420,1379,3.28,18,125.4
Houston Christian (Southland),11,1-10,358,1369,3.82,10,124.5
Sam Houston (Southland),11,6-5,417,1366,3.28,17,124.2
Samford (SoCon),11,6-5,326,1355,4.16,20,123.2
Rhode Island (CAA),11,6-5,391,1338,3.42,15,121.6
San Diego (Pioneer),12,9-3,364,1457,4.00,20,121.4
Jackson St. (SWAC),10,5-5,319,1173,3.68,8,117.3
Presbyterian (Big South),10,2-8,342,1167,3.41,5,116.7
UAlbany (CAA),11,3-8,326,1213,3.72,11,110.3
McNeese (Southland),11,6-5,396,1207,3.05,8,109.7
Richmond (CAA),11,4-7,342,1206,3.53,12,109.6
Valparaiso (Pioneer),11,2-9,327,1203,3.68,13,109.4
Columbia (Ivy League),10,6-4,367,1092,2.98,14,109.2
Northern Colo. (Big Sky),11,2-9,388,1199,3.09,13,109.0
New Hampshire (CAA),11,4-7,378,1191,3.15,12,108.3
Alabama St. (SWAC),11,4-7,395,1188,3.01,7,108.0
Lehigh (Patriot),11,3-8,377,1165,3.09,11,105.9
Mississippi Val. (SWAC),11,1-10,394,1160,2.94,18,105.5
Delaware (CAA),12,7-5,421,1264,3.00,15,105.3
Western Ill. (MVFC),11,5-6,315,1144,3.63,10,104.0
Marist (Pioneer),11,5-6,358,1141,3.19,11,103.7
Norfolk St. (MEAC),11,4-7,314,1133,3.61,9,103.0
Chattanooga (SoCon),11,6-5,323,1082,3.35,11,98.4
Northwestern St. (Southland),11,5-6,346,1080,3.12,8,98.2
Georgetown (Patriot),11,5-6,392,1033,2.64,10,93.9
Saint Francis (PA) (NEC),11,4-7,359,1006,2.80,11,91.5
SFA (Southland),10,2-8,347,904,2.61,7,90.4
Drake (Pioneer),11,7-4,363,965,2.66,10,87.7
Lafayette (Patriot),11,3-8,316,960,3.04,11,87.3
Texas Southern (SWAC),11,2-9,322,949,2.95,8,86.3
Brown (Ivy League),10,1-9,260,651,2.50,9,65.1
VMI (SoCon),11,1-10,313,643,2.05,11,58.5
Bucknell (Patriot),11,1-10,337,627,1.86,6,57.0
William & Mary (CAA),10,4-6,310,553,1.78,5,55.3
Fordham (Patriot),11,2-9,326,558,1.71,9,50.7
North Ala. (FCS Independent),10,7-3,362,1498,4.14,13,149.8
