Turnover Rank,Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
55,UConn (FBS Independent),12,6-6,8,12,20,11,7,18,2,0.17
55,Washington (Pac-12),12,10-2,5,7,12,2,8,10,2,0.17
55,Wisconsin (Big Ten),12,6-6,3,15,18,6,10,16,2,0.17
62,Bowling Green (MAC),12,6-6,13,9,22,11,10,21,1,0.08
62,Maryland (Big Ten),12,7-5,7,7,14,7,6,13,1,0.08
62,Ole Miss (SEC),12,8-4,10,7,17,7,9,16,1,0.08
62,Texas (Big 12),12,8-4,4,9,13,5,7,12,1,0.08
62,UCLA (Pac-12),12,9-3,7,10,17,8,8,16,1,0.08
67,Boise St. (Mountain West),13,9-4,5,13,18,8,9,17,1,0.08
67,Clemson (ACC),13,11-2,8,13,21,12,8,20,1,0.08
69,Eastern Mich. (MAC),12,8-4,7,10,17,6,11,17,0,0.0
69,Kent St. (MAC),12,5-7,6,7,13,5,8,13,0,0.0
69,Kentucky (SEC),12,7-5,7,10,17,6,11,17,0,0.0
69,Old Dominion (Sun Belt),12,3-9,7,12,19,12,7,19,0,0.0
69,Purdue (Big Ten),13,8-5,6,14,20,6,14,20,0,0.0
74,Georgia (SEC),13,13-0,6,10,16,11,6,17,-1,-0.08
74,LSU (SEC),13,9-4,11,6,17,12,6,18,-1,-0.08
74,North Carolina (ACC),13,9-4,5,8,13,7,7,14,-1,-0.08
77,Arkansas (SEC),12,6-6,8,7,15,10,6,16,-1,-0.08
77,Oregon St. (Pac-12),12,9-3,5,12,17,5,13,18,-1,-0.08
77,San Diego St. (Mountain West),12,7-5,7,12,19,9,11,20,-1,-0.08
77,Texas A&M (SEC),12,5-7,12,4,16,11,6,17,-1,-0.08
77,Vanderbilt (SEC),12,5-7,11,6,17,12,6,18,-1,-0.08
82,Alabama (SEC),12,10-2,10,5,15,9,8,17,-2,-0.17
82,Louisiana Tech (C-USA),12,3-9,12,11,23,6,19,25,-2,-0.17
82,Notre Dame (FBS Independent),12,8-4,4,9,13,7,8,15,-2,-0.17
82,Pittsburgh (ACC),12,8-4,7,10,17,9,10,19,-2,-0.17
82,SMU (AAC),12,7-5,8,9,17,9,10,19,-2,-0.17
82,Southern Miss. (Sun Belt),12,6-6,4,16,20,8,14,22,-2,-0.17
82,Tulsa (AAC),12,5-7,10,6,16,8,10,18,-2,-0.17
82,Wyoming (Mountain West),12,7-5,7,6,13,4,11,15,-2,-0.17
90,UCF (AAC),13,9-4,12,6,18,13,8,21,-3,-0.23
91,Liberty (FBS Independent),12,8-4,9,14,23,11,15,26,-3,-0.25
91,Massachusetts (FBS Independent),12,1-11,8,9,17,6,14,20,-3,-0.25
91,Miami (FL) (ACC),12,5-7,8,14,22,13,12,25,-3,-0.25
91,Missouri (SEC),12,6-6,7,10,17,11,9,20,-3,-0.25
