Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Toledo (MAC),6,4-2,243,1009,4.15,8,168.2
South Carolina (SEC),10,2-8,369,1679,4.55,21,167.9
Oregon (Pac-12),7,4-3,237,1167,4.92,13,166.7
Wisconsin (Big Ten),7,4-3,293,1152,3.93,13,164.6
Wake Forest (ACC),9,4-5,380,1467,3.86,22,163.0
Texas Tech (Big 12),10,4-6,337,1628,4.83,17,162.8
Northwestern (Big Ten),9,7-2,394,1465,3.72,16,162.8
Virginia (ACC),10,5-5,366,1627,4.45,16,162.7
Auburn (SEC),11,6-5,392,1788,4.56,16,162.5
Miami (FL) (ACC),11,8-3,422,1788,4.24,18,162.5
Southern Miss. (C-USA),10,3-7,369,1590,4.31,18,159.0
Tulsa (AAC),9,6-3,356,1419,3.99,13,157.7
FIU (C-USA),5,0-5,176,787,4.47,8,157.4
Duke (ACC),11,2-9,438,1724,3.94,19,156.7
Arizona (Pac-12),5,0-5,184,782,4.25,4,156.4
Charlotte (C-USA),6,2-4,237,929,3.92,11,154.8
Clemson (ACC),12,10-2,411,1846,4.49,33,153.8
Hawaii (Mountain West),9,5-4,324,1372,4.23,15,152.4
Kansas St. (Big 12),10,4-6,354,1517,4.29,17,151.7
Arkansas (SEC),10,3-7,394,1513,3.84,11,151.3
South Fla. (AAC),9,1-8,337,1339,3.97,11,148.8
Memphis (AAC),11,8-3,396,1597,4.03,9,145.2
Maryland (Big Ten),5,2-3,151,725,4.8,5,145.0
UNLV (Mountain West),6,0-6,224,868,3.88,7,144.7
Houston (AAC),8,3-5,293,1145,3.91,12,143.1
Akron (MAC),6,1-5,212,849,4.0,8,141.5
Tennessee (SEC),10,3-7,375,1415,3.77,12,141.5
Rutgers (Big Ten),9,3-6,342,1263,3.69,13,140.3
Temple (AAC),7,1-6,284,982,3.46,5,140.3
Utah St. (Mountain West),6,1-5,192,840,4.38,4,140.0
UTEP (C-USA),8,3-5,300,1111,3.7,16,138.9
Middle Tenn. (C-USA),9,3-6,325,1219,3.75,12,135.4
Missouri (SEC),10,5-5,351,1352,3.85,21,135.2
West Virginia (Big 12),10,6-4,358,1351,3.77,15,135.1
Stanford (Pac-12),6,4-2,198,797,4.03,15,132.8
San Jose St. (Mountain West),8,7-1,236,1060,4.49,8,132.5
Michigan (Big Ten),6,2-4,172,789,4.59,12,131.5
Florida (SEC),12,8-4,367,1575,4.29,12,131.2
Texas St. (Sun Belt),12,2-10,372,1575,4.23,15,131.2
Washington St. (Pac-12),4,1-3,110,517,4.7,8,129.2
Miami (OH) (MAC),3,2-1,100,381,3.81,2,127.0
NIU (MAC),6,0-6,221,762,3.45,7,127.0
California (Pac-12),4,1-3,148,507,3.43,4,126.8
Western Ky. (C-USA),12,5-7,389,1512,3.89,12,126.0
Arkansas St. (Sun Belt),11,4-7,386,1379,3.57,7,125.4
Eastern Mich. (MAC),6,2-4,219,745,3.4,11,124.2
Colorado St. (Mountain West),4,1-3,156,496,3.18,6,124.0
Fresno St. (Mountain West),6,3-3,216,738,3.42,12,123.0
NC State (ACC),12,8-4,433,1470,3.39,20,122.5
Nevada (Mountain West),9,7-2,256,1101,4.3,7,122.3
LSU (SEC),10,5-5,365,1217,3.33,9,121.7
Rice (C-USA),5,2-3,216,604,2.8,1,120.8
Pittsburgh (ACC),11,6-5,389,1319,3.39,20,119.9
South Alabama (Sun Belt),11,4-7,419,1225,2.92,7,111.4
Vanderbilt (SEC),9,0-9,329,991,3.01,4,110.1
Indiana (Big Ten),8,6-2,278,869,3.13,12,108.6
Boise St. (Mountain West),7,5-2,229,750,3.28,13,107.1
Kansas (Big 12),9,0-9,354,944,2.67,9,104.9
Troy (Sun Belt),11,5-6,328,1129,3.44,11,102.6
Boston College (ACC),11,6-5,361,1119,3.1,11,101.7
Louisiana Tech (C-USA),10,5-5,344,992,2.88,10,99.2
Southern California (Pac-12),6,5-1,184,584,3.17,8,97.3
Syracuse (ACC),11,1-10,320,1012,3.16,5,92.0
Michigan St. (Big Ten),7,2-5,239,640,2.68,2,91.4
Baylor (Big 12),9,2-7,298,813,2.73,8,90.3
Purdue (Big Ten),6,2-4,150,489,3.26,4,81.5
ULM (Sun Belt),10,0-10,247,763,3.09,9,76.3
Massachusetts (FBS Independent),4,0-4,117,269,2.3,0,67.2
Mississippi St. (SEC),11,4-7,204,483,2.37,8,43.9
