Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Coastal Carolina (Sun Belt),12,11-1,7,53,1,7.57
LSU (SEC),10,5-5,10,77,0,7.7
Indiana (Big Ten),8,6-2,4,31,0,7.75
Navy (AAC),10,3-7,9,70,0,7.78
Boise St. (Mountain West),7,5-2,13,102,0,7.85
New Mexico (Mountain West),7,2-5,8,64,0,8.0
Texas St. (Sun Belt),12,2-10,15,122,0,8.13
Charlotte (CUSA),6,2-4,8,66,0,8.25
UTEP (CUSA),8,3-5,6,50,0,8.33
Baylor (Big 12),9,2-7,13,109,1,8.38
Clemson (ACC),12,10-2,17,144,0,8.47
Colorado (Pac-12),6,4-2,12,103,0,8.58
BYU (FBS Independent),12,11-1,9,80,0,8.89
Nevada (Mountain West),9,7-2,9,80,0,8.89
Ole Miss (SEC),10,5-5,6,54,0,9.0
Texas (Big 12),10,7-3,20,181,0,9.05
Pittsburgh (ACC),11,6-5,9,83,1,9.22
Illinois (Big Ten),8,2-6,14,130,0,9.29
Fresno St. (Mountain West),6,3-3,7,68,0,9.71
Fla. Atlantic (CUSA),9,5-4,12,118,1,9.83
San Diego St. (Mountain West),8,4-4,15,150,0,10.0
Arizona (Pac-12),5,0-5,6,61,0,10.17
Florida (SEC),12,8-4,3,31,0,10.33
Georgia Tech (ACC),10,3-7,8,83,0,10.38
NC State (ACC),12,8-4,21,219,1,10.43
UCF (AAC),10,6-4,11,120,0,10.91
Iowa St. (Big 12),12,9-3,16,176,1,11.0
Louisville (ACC),11,4-7,6,67,0,11.17
Arkansas (SEC),10,3-7,23,263,2,11.43
Temple (AAC),7,1-6,17,197,0,11.59
Western Ky. (CUSA),12,5-7,19,230,1,12.11
ULM (Sun Belt),10,0-10,15,182,3,12.13
Nebraska (Big Ten),8,3-5,12,146,0,12.17
Southern California (Pac-12),6,5-1,5,61,0,12.2
Hawaii (Mountain West),9,5-4,20,246,0,12.3
Vanderbilt (SEC),9,0-9,16,201,0,12.56
South Alabama (Sun Belt),11,4-7,8,101,0,12.62
South Carolina (SEC),10,2-8,12,153,0,12.75
Kentucky (SEC),11,5-6,13,174,1,13.38
Texas Tech (Big 12),10,4-6,12,163,1,13.58
California (Pac-12),4,1-3,5,70,0,14.0
Ga. Southern (Sun Belt),13,8-5,12,170,0,14.17
South Fla. (AAC),9,1-8,19,288,2,15.16
Colorado St. (Mountain West),4,1-3,17,260,3,15.29
Tulsa (AAC),9,6-3,13,203,0,15.62
UTSA (CUSA),12,7-5,17,266,1,15.65
Kansas (Big 12),9,0-9,21,347,3,16.52
Purdue (Big Ten),6,2-4,7,117,0,16.71
Michigan St. (Big Ten),7,2-5,15,257,2,17.13
San Jose St. (Mountain West),8,7-1,4,69,1,17.25
Ohio St. (Big Ten),8,7-1,5,98,1,19.6
Oregon St. (Pac-12),7,2-5,7,145,1,20.71
Washington (Pac-12),4,3-1,3,64,1,21.33
Utah (Pac-12),5,3-2,4,92,1,23.0
Massachusetts (FBS Independent),4,0-4,2,60,0,30.0
