Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Purdue (Big Ten),6,2-4,22,20,0,0,9,0,179,29.8
Fresno St. (Mountain West),6,3-3,23,21,0,0,7,0,180,30.0
Tennessee (SEC),10,3-7,35,34,0,0,19,0,301,30.1
Minnesota (Big Ten),7,3-4,28,26,1,0,5,0,211,30.1
Central Mich. (MAC),6,3-3,23,22,0,0,7,0,181,30.2
Navy (AAC),10,3-7,34,31,0,0,22,1,303,30.3
UCLA (Pac-12),7,3-4,28,24,0,0,7,1,215,30.7
Florida (SEC),12,8-4,48,44,1,0,12,0,370,30.8
SMU (AAC),10,7-3,41,39,0,0,8,0,309,30.9
UTEP (C-USA),8,3-5,33,32,0,0,6,0,248,31.0
Colorado (Pac-12),6,4-2,22,19,3,0,11,0,190,31.7
Stanford (Pac-12),6,4-2,25,22,0,0,6,0,190,31.7
Georgia St. (Sun Belt),10,6-4,43,38,0,0,7,0,317,31.7
Houston (AAC),8,3-5,33,30,2,0,8,0,256,32.0
Maryland (Big Ten),5,2-3,20,15,1,0,7,1,160,32.0
Virginia Tech (ACC),11,5-6,45,42,1,0,13,0,353,32.1
Rutgers (Big Ten),9,3-6,36,35,0,0,12,1,289,32.1
Kansas St. (Big 12),10,4-6,42,40,0,0,10,0,322,32.2
Missouri (SEC),10,5-5,42,39,1,0,10,0,323,32.3
Southern Miss. (C-USA),10,3-7,42,39,0,0,10,1,323,32.3
FIU (C-USA),5,0-5,19,18,0,0,10,0,162,32.4
Charlotte (C-USA),6,2-4,26,25,0,1,4,0,195,32.5
New Mexico (Mountain West),7,2-5,28,26,2,0,10,0,228,32.6
Syracuse (ACC),11,1-10,45,40,1,0,16,0,360,32.7
Wake Forest (ACC),9,4-5,37,37,0,0,12,0,295,32.8
UCF (AAC),10,6-4,44,34,4,0,8,1,332,33.2
Oregon St. (Pac-12),7,2-5,29,24,1,0,11,0,233,33.3
Western Mich. (MAC),6,4-2,25,17,4,0,10,0,205,34.2
Michigan (Big Ten),6,2-4,26,25,1,0,8,0,207,34.5
Louisiana Tech (C-USA),10,5-5,45,44,0,0,11,0,347,34.7
Illinois (Big Ten),8,2-6,37,34,1,0,7,0,279,34.9
Arkansas (SEC),10,3-7,43,42,1,0,15,1,349,34.9
LSU (SEC),10,5-5,45,43,0,0,12,0,349,34.9
Michigan St. (Big Ten),7,2-5,32,31,1,0,7,0,246,35.1
Utah St. (Mountain West),6,1-5,28,28,0,0,5,0,211,35.2
East Carolina (AAC),9,3-6,42,38,1,0,9,0,319,35.4
Middle Tenn. (C-USA),9,3-6,41,39,1,0,10,1,319,35.4
Colorado St. (Mountain West),4,1-3,18,17,0,0,6,0,143,35.8
Eastern Mich. (MAC),6,2-4,27,24,2,0,8,1,216,36.0
Florida St. (ACC),9,3-6,43,40,1,0,8,0,324,36.0
South Carolina (SEC),10,2-8,47,45,0,0,11,0,360,36.0
Texas Tech (Big 12),10,4-6,45,42,1,0,17,1,367,36.7
Georgia Tech (ACC),10,3-7,46,43,1,0,15,1,368,36.8
Temple (AAC),7,1-6,34,32,0,0,8,0,260,37.1
Arkansas St. (Sun Belt),11,4-7,53,50,0,0,13,1,409,37.2
Vanderbilt (SEC),9,0-9,44,40,1,0,10,0,336,37.3
Kent St. (MAC),4,3-1,21,18,1,0,2,0,152,38.0
UNLV (Mountain West),6,0-6,28,27,0,0,11,0,228,38.0
Duke (ACC),11,2-9,56,53,0,0,10,0,419,38.1
Texas St. (Sun Belt),12,2-10,58,56,0,0,18,0,458,38.2
Ole Miss (SEC),10,5-5,50,45,1,0,12,0,383,38.3
Washington St. (Pac-12),4,1-3,21,18,2,0,2,0,154,38.5
NIU (MAC),6,0-6,30,27,1,0,7,1,232,38.7
Arizona (Pac-12),5,0-5,26,25,0,0,6,0,199,39.8
South Fla. (AAC),9,1-8,47,44,0,0,11,0,359,39.9
Massachusetts (FBS Independent),4,0-4,21,20,0,0,5,0,161,40.2
Akron (MAC),6,1-5,34,32,0,0,4,0,248,41.3
ULM (Sun Belt),10,0-10,56,54,0,0,10,0,420,42.0
North Texas (C-USA),10,4-6,58,57,1,0,7,0,428,42.8
Bowling Green (MAC),5,0-5,30,28,1,0,5,0,225,45.0
Kansas (Big 12),9,0-9,52,50,1,0,16,1,414,46.0
