Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Florida St. (ACC),9,3-6,53,114,0.465
Air Force (Mountain West),6,3-3,34,73,0.466
Ole Miss (SEC),10,5-5,63,135,0.467
Oregon St. (Pac-12),7,2-5,42,90,0.467
Georgia Tech (ACC),10,3-7,71,152,0.467
UNLV (Mountain West),6,0-6,36,77,0.468
Arkansas (SEC),10,3-7,74,158,0.468
North Texas (C-USA),10,4-6,68,144,0.472
Syracuse (ACC),11,1-10,82,173,0.474
Louisiana Tech (C-USA),10,5-5,67,141,0.475
Tennessee (SEC),10,3-7,70,147,0.476
Southern Miss. (C-USA),10,3-7,68,142,0.479
Washington St. (Pac-12),4,1-3,25,52,0.481
South Carolina (SEC),10,2-8,61,126,0.484
Fresno St. (Mountain West),6,3-3,47,97,0.485
Texas St. (Sun Belt),12,2-10,88,179,0.492
South Fla. (AAC),9,1-8,71,142,0.5
Auburn (SEC),11,6-5,82,163,0.503
Stanford (Pac-12),6,4-2,39,76,0.513
Bowling Green (MAC),5,0-5,36,70,0.514
Massachusetts (FBS Independent),4,0-4,28,54,0.519
Akron (MAC),6,1-5,39,73,0.534
Middle Tenn. (C-USA),9,3-6,75,140,0.536
ULM (Sun Belt),10,0-10,81,142,0.57
