Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Arkansas (SEC),10,3-7,46,17,13,6,36,0.783
TCU (Big 12),10,6-4,28,5,8,9,22,0.786
Washington (Pac-12),4,3-1,14,8,3,0,11,0.786
Virginia (ACC),10,5-5,38,11,9,10,30,0.789
Utah St. (Mountain West),6,1-5,24,10,5,4,19,0.792
Oklahoma (Big 12),11,9-2,39,15,7,9,31,0.795
Colorado (Pac-12),6,4-2,20,5,6,5,16,0.8
Mississippi St. (SEC),11,4-7,40,10,12,10,32,0.8
Syracuse (ACC),11,1-10,50,19,7,14,40,0.8
Fresno St. (Mountain West),6,3-3,26,11,4,6,21,0.808
Arkansas St. (Sun Belt),11,4-7,47,13,17,8,38,0.809
Massachusetts (FBS Independent),4,0-4,21,6,7,4,17,0.81
NC State (ACC),12,8-4,53,13,15,15,43,0.811
South Alabama (Sun Belt),11,4-7,53,20,12,11,43,0.811
Purdue (Big Ten),6,2-4,32,12,7,7,26,0.812
LSU (SEC),10,5-5,43,15,11,9,35,0.814
Texas (Big 12),10,7-3,49,14,12,14,40,0.816
Arizona St. (Pac-12),4,2-2,17,7,6,1,14,0.824
Kansas St. (Big 12),10,4-6,46,15,14,9,38,0.826
Miami (FL) (ACC),11,8-3,46,12,14,12,38,0.826
San Diego St. (Mountain West),8,4-4,23,4,8,7,19,0.826
Georgia St. (Sun Belt),10,6-4,41,15,14,5,34,0.829
Louisville (ACC),11,4-7,41,16,9,9,34,0.829
FIU (C-USA),5,0-5,24,9,5,6,20,0.833
Florida St. (ACC),9,3-6,42,21,7,7,35,0.833
Maryland (Big Ten),5,2-3,24,11,4,5,20,0.833
SMU (AAC),10,7-3,42,15,14,6,35,0.833
Utah (Pac-12),5,3-2,18,7,4,4,15,0.833
Oregon (Pac-12),7,4-3,31,15,5,6,26,0.839
Duke (ACC),11,2-9,44,18,12,7,37,0.841
Louisiana (Sun Belt),11,10-1,38,19,5,8,32,0.842
New Mexico (Mountain West),7,2-5,19,5,3,8,16,0.842
Florida (SEC),12,8-4,45,13,16,9,38,0.844
Virginia Tech (ACC),11,5-6,45,21,11,6,38,0.844
Western Ky. (C-USA),12,5-7,39,17,8,8,33,0.846
North Texas (C-USA),10,4-6,53,25,17,3,45,0.849
Troy (Sun Belt),11,5-6,40,13,10,11,34,0.85
West Virginia (Big 12),10,6-4,20,7,5,5,17,0.85
Temple (AAC),7,1-6,27,12,6,5,23,0.852
ULM (Sun Belt),10,0-10,41,23,9,3,35,0.854
Wake Forest (ACC),9,4-5,41,18,10,7,35,0.854
Georgia Tech (ACC),10,3-7,48,17,12,12,41,0.854
Boston College (ACC),11,6-5,42,16,10,10,36,0.857
Miami (OH) (MAC),3,2-1,7,4,2,0,6,0.857
Nebraska (Big Ten),8,3-5,35,11,7,12,30,0.857
South Fla. (AAC),9,1-8,42,14,14,8,36,0.857
Texas Tech (Big 12),10,4-6,49,22,10,10,42,0.857
Coastal Carolina (Sun Belt),12,11-1,36,15,5,11,31,0.861
Ohio St. (Big Ten),8,7-1,29,10,10,5,25,0.862
Oklahoma St. (Big 12),11,8-3,29,7,10,8,25,0.862
Stanford (Pac-12),6,4-2,29,12,7,6,25,0.862
UTSA (C-USA),12,7-5,44,13,15,10,38,0.864
Baylor (Big 12),9,2-7,37,15,9,8,32,0.865
Notre Dame (ACC),12,10-2,30,8,8,10,26,0.867
UCF (AAC),10,6-4,45,15,17,7,39,0.867
UTEP (C-USA),8,3-5,30,12,9,5,26,0.867
Illinois (Big Ten),8,2-6,38,16,11,6,33,0.868
North Carolina (ACC),12,8-4,46,19,10,11,40,0.87
Boise St. (Mountain West),7,5-2,31,12,6,9,27,0.871
Hawaii (Mountain West),9,5-4,31,12,7,8,27,0.871
Houston (AAC),8,3-5,31,10,11,6,27,0.871
South Carolina (SEC),10,2-8,47,20,12,9,41,0.872
East Carolina (AAC),9,3-6,40,17,9,9,35,0.875
UAB (C-USA),9,6-3,24,4,9,8,21,0.875
Ole Miss (SEC),10,5-5,49,22,13,8,43,0.878
Tennessee (SEC),10,3-7,43,15,11,12,38,0.884
Ohio (MAC),3,2-1,9,3,2,3,8,0.889
Washington St. (Pac-12),4,1-3,18,8,8,0,16,0.889
Arizona (Pac-12),5,0-5,28,16,3,6,25,0.893
Oregon St. (Pac-12),7,2-5,28,12,5,8,25,0.893
Penn St. (Big Ten),9,4-5,28,12,6,7,25,0.893
Rutgers (Big Ten),9,3-6,38,12,14,8,34,0.895
Toledo (MAC),6,4-2,20,3,10,5,18,0.9
Texas St. (Sun Belt),12,2-10,61,26,15,14,55,0.902
Louisiana Tech (C-USA),10,5-5,41,19,9,9,37,0.902
UCLA (Pac-12),7,3-4,31,14,9,5,28,0.903
Vanderbilt (SEC),9,0-9,32,12,10,7,29,0.906
Navy (AAC),10,3-7,44,18,5,17,40,0.909
Southern Miss. (C-USA),10,3-7,33,11,12,7,30,0.909
UNLV (Mountain West),6,0-6,33,17,3,10,30,0.909
Missouri (SEC),10,5-5,37,18,12,4,34,0.919
Texas A&M (SEC),10,9-1,25,6,10,7,23,0.92
Michigan (Big Ten),6,2-4,27,12,8,5,25,0.926
Southern California (Pac-12),6,5-1,16,3,8,4,15,0.938
Kent St. (MAC),4,3-1,17,12,2,2,16,0.941
Middle Tenn. (C-USA),9,3-6,34,13,14,5,32,0.941
Central Mich. (MAC),6,3-3,20,7,6,6,19,0.95
Kansas (Big 12),9,0-9,43,18,11,12,41,0.953
Georgia (SEC),10,8-2,22,7,7,7,21,0.955
Bowling Green (MAC),5,0-5,25,11,8,5,24,0.96
Western Mich. (MAC),6,4-2,26,11,7,7,25,0.962
Colorado St. (Mountain West),4,1-3,16,7,5,4,16,1.0
