Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Colorado St. (Mountain West),4,1-3,13,323,1,24.85
Kentucky (SEC),11,5-6,15,375,0,25.0
South Carolina (SEC),10,2-8,18,453,1,25.17
Washington (Pac-12),4,3-1,13,332,0,25.54
San Diego St. (Mountain West),8,4-4,13,338,0,26.0
Kansas St. (Big 12),10,4-6,16,419,0,26.19
Louisiana Tech (C-USA),10,5-5,26,682,1,26.23
Fla. Atlantic (C-USA),9,5-4,14,373,1,26.64
Auburn (SEC),11,6-5,15,400,0,26.67
Purdue (Big Ten),6,2-4,13,356,1,27.38
Kansas (Big 12),9,0-9,12,329,2,27.42
Houston (AAC),8,3-5,11,313,1,28.45
Bowling Green (MAC),5,0-5,7,202,1,28.86
LSU (SEC),10,5-5,10,344,1,34.4
Arizona (Pac-12),5,0-5,2,110,1,55.0
