Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
UTEP (CUSA),8,3-5,6,13,0.462
North Texas (CUSA),10,4-6,11,24,0.458
Utah (Pac-12),5,3-2,5,11,0.455
Akron (MAC),6,1-5,4,9,0.444
Massachusetts (FBS Independent),4,0-4,4,9,0.444
Michigan (Big Ten),6,2-4,4,9,0.444
Louisiana (Sun Belt),11,10-1,11,25,0.44
Colorado (Pac-12),6,4-2,3,7,0.429
Washington St. (Pac-12),4,1-3,3,7,0.429
Kansas (Big 12),9,0-9,10,24,0.417
FIU (CUSA),5,0-5,5,12,0.417
Michigan St. (Big Ten),7,2-5,5,12,0.417
Wisconsin (Big Ten),7,4-3,5,12,0.417
UCLA (Pac-12),7,3-4,7,17,0.412
SMU (AAC),10,7-3,7,18,0.389
Texas St. (Sun Belt),12,2-10,10,26,0.385
Georgia (SEC),10,8-2,5,13,0.385
San Jose St. (Mountain West),8,7-1,5,13,0.385
Marshall (CUSA),10,7-3,8,21,0.381
Colorado St. (Mountain West),4,1-3,3,8,0.375
Texas A&M (SEC),10,9-1,3,8,0.375
Georgia Tech (ACC),10,3-7,9,25,0.36
Southern Miss. (CUSA),10,3-7,6,17,0.353
Syracuse (ACC),11,1-10,6,18,0.333
Arizona St. (Pac-12),4,2-2,2,6,0.333
South Fla. (AAC),9,1-8,7,24,0.292
Auburn (SEC),11,6-5,3,11,0.273
Arizona (Pac-12),5,0-5,3,12,0.25
New Mexico (Mountain West),7,2-5,2,8,0.25
Bowling Green (MAC),5,0-5,3,14,0.214
Ohio (MAC),3,2-1,0,1,0.0
