Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Georgia Tech (ACC),10,3-7,428,1892,4.42,21,189.2
Vanderbilt (SEC),9,0-9,302,1719,5.69,19,191.0
Arkansas (SEC),10,3-7,416,1921,4.62,21,192.1
UCF (AAC),10,6-4,444,1926,4.34,17,192.6
Ohio (MAC),3,2-1,121,581,4.8,3,193.7
South Carolina (SEC),10,2-8,398,1954,4.91,23,195.4
Louisiana Tech (C-USA),10,5-5,407,1983,4.87,26,198.3
Florida St. (ACC),9,3-6,350,1793,5.12,25,199.2
East Carolina (AAC),9,3-6,351,1812,5.16,23,201.3
Rutgers (Big Ten),9,3-6,406,1833,4.51,14,203.7
Navy (AAC),10,3-7,414,2047,4.94,23,204.7
Ole Miss (SEC),10,5-5,391,2069,5.29,28,206.9
Minnesota (Big Ten),7,3-4,230,1450,6.3,16,207.1
Temple (AAC),7,1-6,303,1460,4.82,15,208.6
Syracuse (ACC),11,1-10,504,2300,4.56,24,209.1
Hawaii (Mountain West),9,5-4,381,1905,5.0,17,211.7
Fresno St. (Mountain West),6,3-3,244,1274,5.22,14,212.3
South Fla. (AAC),9,1-8,386,1911,4.95,20,212.3
Duke (ACC),11,2-9,462,2345,5.08,31,213.2
Charlotte (C-USA),6,2-4,219,1284,5.86,15,214.0
Oregon St. (Pac-12),7,2-5,274,1523,5.56,18,217.6
Middle Tenn. (C-USA),9,3-6,382,1997,5.23,21,221.9
Stanford (Pac-12),6,4-2,244,1332,5.46,12,222.0
Texas St. (Sun Belt),12,2-10,526,2694,5.12,29,224.5
Utah St. (Mountain West),6,1-5,252,1348,5.35,14,224.7
Maryland (Big Ten),5,2-3,236,1150,4.87,14,230.0
Illinois (Big Ten),8,2-6,358,1841,5.14,17,230.1
FIU (C-USA),5,0-5,227,1178,5.19,11,235.6
Kansas (Big 12),9,0-9,366,2126,5.81,24,236.2
Eastern Mich. (MAC),6,2-4,274,1432,5.23,12,238.7
Akron (MAC),6,1-5,238,1489,6.26,19,248.2
ULM (Sun Belt),10,0-10,461,2493,5.41,29,249.3
UNLV (Mountain West),6,0-6,241,1530,6.35,22,255.0
Kent St. (MAC),4,3-1,170,1048,6.16,19,262.0
North Texas (C-USA),10,4-6,441,2692,6.1,32,269.2
Arizona (Pac-12),5,0-5,229,1353,5.91,19,270.6
Massachusetts (FBS Independent),4,0-4,169,1094,6.47,11,273.5
Bowling Green (MAC),5,0-5,245,1551,6.33,16,310.2
