Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Wisconsin (Big Ten),7,4-3,4,8,12,5,7,12,0,0.0
South Alabama (Sun Belt),11,4-7,7,7,14,9,6,15,-1,-0.09
Virginia (ACC),10,5-5,7,11,18,5,14,19,-1,-0.1
North Carolina (ACC),12,8-4,3,8,11,5,8,13,-2,-0.17
FIU (C-USA),5,0-5,1,2,3,2,2,4,-1,-0.2
Georgia (SEC),10,8-2,4,9,13,4,11,15,-2,-0.2
Louisiana Tech (C-USA),10,5-5,5,9,14,2,14,16,-2,-0.2
Navy (AAC),10,3-7,6,3,9,7,4,11,-2,-0.2
Middle Tenn. (C-USA),9,3-6,6,8,14,6,10,16,-2,-0.22
Tulsa (AAC),9,6-3,10,6,16,7,11,18,-2,-0.22
UAB (C-USA),9,6-3,6,8,14,7,9,16,-2,-0.22
Florida (SEC),12,8-4,7,9,16,9,10,19,-3,-0.25
Texas St. (Sun Belt),12,2-10,8,7,15,4,14,18,-3,-0.25
Oregon St. (Pac-12),7,2-5,1,5,6,3,5,8,-2,-0.29
Temple (AAC),7,1-6,9,3,12,3,11,14,-2,-0.29
UCLA (Pac-12),7,3-4,2,9,11,7,6,13,-2,-0.29
Kansas St. (Big 12),10,4-6,5,7,12,5,10,15,-3,-0.3
Southern Miss. (C-USA),10,3-7,7,6,13,7,9,16,-3,-0.3
East Carolina (AAC),9,3-6,8,10,18,12,9,21,-3,-0.33
Florida St. (ACC),9,3-6,6,8,14,4,13,17,-3,-0.33
Michigan (Big Ten),6,2-4,2,2,4,2,4,6,-2,-0.33
Arkansas St. (Sun Belt),11,4-7,6,6,12,7,9,16,-4,-0.36
Troy (Sun Belt),11,5-6,6,8,14,5,13,18,-4,-0.36
South Carolina (SEC),10,2-8,3,8,11,6,9,15,-4,-0.4
Western Ky. (C-USA),12,5-7,4,6,10,11,4,15,-5,-0.42
Kansas (Big 12),9,0-9,6,4,10,4,10,14,-4,-0.44
South Fla. (AAC),9,1-8,3,10,13,11,6,17,-4,-0.44
Akron (MAC),6,1-5,4,2,6,3,6,9,-3,-0.5
Colorado (Pac-12),6,4-2,4,4,8,4,7,11,-3,-0.5
Missouri (SEC),10,5-5,5,4,9,8,6,14,-5,-0.5
NC State (ACC),12,8-4,3,10,13,4,15,19,-6,-0.5
NIU (MAC),6,0-6,2,5,7,8,2,10,-3,-0.5
Ole Miss (SEC),10,5-5,7,6,13,4,14,18,-5,-0.5
Tennessee (SEC),10,3-7,5,5,10,6,9,15,-5,-0.5
Toledo (MAC),6,4-2,5,4,9,5,7,12,-3,-0.5
Washington St. (Pac-12),4,1-3,4,2,6,4,4,8,-2,-0.5
Western Mich. (MAC),6,4-2,1,2,3,4,2,6,-3,-0.5
Boise St. (Mountain West),7,5-2,0,3,3,4,3,7,-4,-0.57
North Texas (C-USA),10,4-6,2,7,9,6,9,15,-6,-0.6
Mississippi St. (SEC),11,4-7,7,11,18,7,18,25,-7,-0.64
UNLV (Mountain West),6,0-6,3,2,5,5,4,9,-4,-0.67
Georgia Tech (ACC),10,3-7,12,6,18,12,13,25,-7,-0.7
Penn St. (Big Ten),9,4-5,6,4,10,8,9,17,-7,-0.78
ULM (Sun Belt),10,0-10,7,4,11,7,12,19,-8,-0.8
UTEP (C-USA),8,3-5,6,2,8,6,9,15,-7,-0.88
Vanderbilt (SEC),9,0-9,7,2,9,6,11,17,-8,-0.89
Texas Tech (Big 12),10,4-6,5,5,10,8,11,19,-9,-0.9
Massachusetts (FBS Independent),4,0-4,3,0,3,2,5,7,-4,-1.0
Utah St. (Mountain West),6,1-5,2,2,4,5,5,10,-6,-1.0
Louisville (ACC),11,4-7,7,5,12,12,12,24,-12,-1.09
Houston (AAC),8,3-5,3,3,6,6,10,16,-10,-1.25
Michigan St. (Big Ten),7,2-5,6,5,11,8,12,20,-9,-1.29
Oregon (Pac-12),7,4-3,2,5,7,10,6,16,-9,-1.29
Nebraska (Big Ten),8,3-5,2,5,7,9,9,18,-11,-1.38
Maryland (Big Ten),5,2-3,2,2,4,2,9,11,-7,-1.4
Duke (ACC),11,2-9,11,9,20,20,19,39,-19,-1.73
Arizona (Pac-12),5,0-5,1,2,3,5,7,12,-9,-1.8
Bowling Green (MAC),5,0-5,1,0,1,4,7,11,-10,-2.0
