Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
West Virginia (Big 12),10,6-4,58,14,242,65,6.5
Iowa (Big Ten),8,6-2,37,30,240,52,6.5
Fla. Atlantic (C-USA),9,5-4,40,36,223,58,6.4
Coastal Carolina (Sun Belt),12,11-1,57,40,345,77,6.4
Texas A&M (SEC),10,9-1,50,28,262,64,6.4
Syracuse (ACC),11,1-10,64,12,316,70,6.4
Utah St. (Mountain West),6,1-5,29,18,161,38,6.3
Miami (OH) (MAC),3,2-1,14,10,84,19,6.3
LSU (SEC),10,5-5,53,20,273,63,6.3
Michigan St. (Big Ten),7,2-5,28,32,140,44,6.3
Kent St. (MAC),4,3-1,19,12,98,25,6.2
Alabama (SEC),13,13-0,65,32,306,81,6.2
Georgia (SEC),10,8-2,59,6,311,62,6.2
Georgia Tech (ACC),10,3-7,49,26,247,62,6.2
Florida (SEC),12,8-4,56,36,334,74,6.2
Western Ky. (C-USA),12,5-7,62,24,250,74,6.2
Toledo (MAC),6,4-2,22,30,152,37,6.2
Northwestern (Big Ten),9,7-2,46,18,214,55,6.1
Memphis (AAC),11,8-3,59,16,243,67,6.1
Ga. Southern (Sun Belt),13,8-5,49,58,288,78,6.0
Troy (Sun Belt),11,5-6,51,30,262,66,6.0
Arizona St. (Pac-12),4,2-2,20,8,93,24,6.0
Indiana (Big Ten),8,6-2,43,8,210,47,5.9
UTEP (C-USA),8,3-5,36,22,177,47,5.9
Temple (AAC),7,1-6,35,12,142,41,5.9
Army West Point (FBS Independent),12,9-3,58,24,272,70,5.8
Nevada (Mountain West),9,7-2,41,22,242,52,5.8
North Carolina (ACC),12,8-4,61,16,308,69,5.8
Illinois (Big Ten),8,2-6,33,26,194,46,5.8
Ohio St. (Big Ten),8,7-1,38,16,205,46,5.8
Washington St. (Pac-12),4,1-3,19,8,81,23,5.8
Louisville (ACC),11,4-7,52,22,220,63,5.7
Texas Tech (Big 12),10,4-6,40,34,192,57,5.7
App State (Sun Belt),12,9-3,47,42,281,68,5.7
Auburn (SEC),11,6-5,54,16,266,62,5.6
Mississippi St. (SEC),11,4-7,44,34,231,61,5.5
Tennessee (SEC),10,3-7,47,16,208,55,5.5
Purdue (Big Ten),6,2-4,32,2,105,33,5.5
East Carolina (AAC),9,3-6,37,24,166,49,5.4
Buffalo (MAC),7,6-1,27,22,158,38,5.4
Florida St. (ACC),9,3-6,35,26,153,48,5.3
ULM (Sun Belt),10,0-10,41,24,158,53,5.3
Liberty (FBS Independent),11,10-1,45,26,290,58,5.3
Louisiana Tech (C-USA),10,5-5,40,24,182,52,5.2
North Texas (C-USA),10,4-6,37,30,217,52,5.2
Wisconsin (Big Ten),7,4-3,35,2,118,36,5.1
Southern Miss. (C-USA),10,3-7,38,26,171,51,5.1
BYU (FBS Independent),12,11-1,50,20,214,60,5.0
Arkansas (SEC),10,3-7,37,26,177,50,5.0
Marshall (C-USA),10,7-3,26,48,209,50,5.0
Missouri (SEC),10,5-5,44,12,184,50,5.0
Middle Tenn. (C-USA),9,3-6,29,32,184,45,5.0
Oregon (Pac-12),7,4-3,31,8,129,35,5.0
UNLV (Mountain West),6,0-6,23,14,123,30,5.0
Arizona (Pac-12),5,0-5,21,8,58,25,5.0
California (Pac-12),4,1-3,17,6,58,20,5.0
Kentucky (SEC),11,5-6,41,26,178,54,4.9
Stanford (Pac-12),6,4-2,28,2,120,29,4.8
Boston College (ACC),11,6-5,45,16,259,53,4.8
Ole Miss (SEC),10,5-5,38,18,186,47,4.7
Kansas (Big 12),9,0-9,35,14,158,42,4.7
South Fla. (AAC),9,1-8,37,10,105,42,4.7
New Mexico (Mountain West),7,2-5,25,14,139,32,4.6
Navy (AAC),10,3-7,35,20,138,45,4.5
Texas St. (Sun Belt),12,2-10,37,32,180,53,4.4
Rice (C-USA),5,2-3,13,18,76,22,4.4
Eastern Mich. (MAC),6,2-4,17,18,79,26,4.3
NIU (MAC),6,0-6,15,22,91,26,4.3
Louisiana (Sun Belt),11,10-1,40,14,180,47,4.3
Washington (Pac-12),4,3-1,15,4,91,17,4.2
South Alabama (Sun Belt),11,4-7,40,12,125,46,4.2
Michigan (Big Ten),6,2-4,22,6,108,25,4.2
Ohio (MAC),3,2-1,11,2,39,12,4.0
South Carolina (SEC),10,2-8,31,16,150,39,3.9
Oregon St. (Pac-12),7,2-5,19,16,88,27,3.9
Vanderbilt (SEC),9,0-9,27,12,143,33,3.7
Charlotte (C-USA),6,2-4,15,10,58,20,3.3
Air Force (Mountain West),6,3-3,11,12,74,17,2.8
Akron (MAC),6,1-5,16,0,78,16,2.7
Minnesota (Big Ten),7,3-4,15,6,89,18,2.6
