Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Ga. Southern (Sun Belt),13,8-5,46,23,3,14,40,0.87
Clemson (ACC),12,10-2,61,27,16,10,53,0.869
Arizona St. (Pac-12),4,2-2,15,11,1,1,13,0.867
Hawaii (Mountain West),9,5-4,30,13,7,6,26,0.867
Oregon (Pac-12),7,4-3,30,12,11,3,26,0.867
Buffalo (MAC),7,6-1,29,22,2,1,25,0.862
Akron (MAC),6,1-5,14,5,4,3,12,0.857
Charlotte (C-USA),6,2-4,21,9,6,3,18,0.857
Fresno St. (Mountain West),6,3-3,28,9,9,6,24,0.857
Nebraska (Big Ten),8,3-5,35,14,4,12,30,0.857
Texas (Big 12),10,7-3,56,16,21,11,48,0.857
Kent St. (MAC),4,3-1,27,11,8,4,23,0.852
Tulane (AAC),12,6-6,47,23,11,6,40,0.851
Auburn (SEC),11,6-5,40,16,6,12,34,0.85
Utah (Pac-12),5,3-2,20,7,5,5,17,0.85
Kentucky (SEC),11,5-6,33,12,5,11,28,0.848
Iowa St. (Big 12),12,9-3,52,22,12,10,44,0.846
Louisiana Tech (C-USA),10,5-5,39,10,13,10,33,0.846
Western Mich. (MAC),6,4-2,26,12,7,3,22,0.846
Memphis (AAC),11,8-3,45,8,23,7,38,0.844
TCU (Big 12),10,6-4,32,14,3,10,27,0.844
Boston College (ACC),11,6-5,51,9,16,18,43,0.843
Marshall (C-USA),10,7-3,37,15,10,6,31,0.838
Virginia Tech (ACC),11,5-6,42,19,7,9,35,0.833
Virginia (ACC),10,5-5,41,13,12,9,34,0.829
East Carolina (AAC),9,3-6,35,8,11,10,29,0.829
Indiana (Big Ten),8,6-2,35,12,11,6,29,0.829
South Carolina (SEC),10,2-8,29,15,6,3,24,0.828
Texas St. (Sun Belt),12,2-10,40,15,15,3,33,0.825
LSU (SEC),10,5-5,34,8,10,10,28,0.824
NC State (ACC),12,8-4,51,18,16,8,42,0.824
Baylor (Big 12),9,2-7,28,6,10,7,23,0.821
Toledo (MAC),6,4-2,28,7,10,6,23,0.821
Oklahoma St. (Big 12),11,8-3,49,15,9,16,40,0.816
Nevada (Mountain West),9,7-2,38,6,13,12,31,0.816
Southern Miss. (C-USA),10,3-7,38,17,5,9,31,0.816
Middle Tenn. (C-USA),9,3-6,27,10,9,3,22,0.815
Ball St. (MAC),8,7-1,37,14,9,7,30,0.811
Michigan (Big Ten),6,2-4,21,11,5,1,17,0.81
Navy (AAC),10,3-7,21,11,2,4,17,0.81
Louisiana (Sun Belt),11,10-1,52,20,13,9,42,0.808
Cincinnati (AAC),10,9-1,45,18,12,6,36,0.8
Duke (ACC),11,2-9,35,14,4,10,28,0.8
Miami (OH) (MAC),3,2-1,10,2,4,2,8,0.8
Minnesota (Big Ten),7,3-4,35,18,6,4,28,0.8
Ohio (MAC),3,2-1,10,5,2,1,8,0.8
South Alabama (Sun Belt),11,4-7,30,7,8,9,24,0.8
Tulsa (AAC),9,6-3,35,11,7,10,28,0.8
North Texas (C-USA),10,4-6,34,10,12,5,27,0.794
Southern California (Pac-12),6,5-1,34,8,13,6,27,0.794
Temple (AAC),7,1-6,29,5,9,9,23,0.793
New Mexico (Mountain West),7,2-5,19,9,2,4,15,0.789
UNLV (Mountain West),6,0-6,19,5,5,5,15,0.789
Northwestern (Big Ten),9,7-2,33,11,10,5,26,0.788
Western Ky. (C-USA),12,5-7,33,12,9,5,26,0.788
California (Pac-12),4,1-3,14,4,4,3,11,0.786
Central Mich. (MAC),6,3-3,23,11,3,4,18,0.783
San Jose St. (Mountain West),8,7-1,32,6,10,9,25,0.781
South Fla. (AAC),9,1-8,32,11,10,4,25,0.781
Arkansas St. (Sun Belt),11,4-7,41,6,20,6,32,0.78
FIU (C-USA),5,0-5,9,3,2,2,7,0.778
Georgia (SEC),10,8-2,36,13,9,6,28,0.778
Kansas (Big 12),9,0-9,18,7,4,3,14,0.778
Ohio St. (Big Ten),8,7-1,44,15,13,6,34,0.773
Liberty (FBS Independent),11,10-1,56,19,14,10,43,0.768
Notre Dame (ACC),12,10-2,60,25,10,11,46,0.767
UTEP (C-USA),8,3-5,29,15,4,3,22,0.759
Ole Miss (SEC),10,5-5,62,23,18,6,47,0.758
Mississippi St. (SEC),11,4-7,33,7,11,7,25,0.758
Texas Tech (Big 12),10,4-6,33,9,11,5,25,0.758
Penn St. (Big Ten),9,4-5,37,11,8,9,28,0.757
App State (Sun Belt),12,9-3,52,17,13,9,39,0.75
Purdue (Big Ten),6,2-4,28,4,11,6,21,0.75
Utah St. (Mountain West),6,1-5,8,2,2,2,6,0.75
Florida St. (ACC),9,3-6,31,13,6,4,23,0.742
Tennessee (SEC),10,3-7,23,12,3,2,17,0.739
Fla. Atlantic (C-USA),9,5-4,26,8,6,5,19,0.731
Maryland (Big Ten),5,2-3,11,2,3,3,8,0.727
San Diego St. (Mountain West),8,4-4,29,8,5,8,21,0.724
Troy (Sun Belt),11,5-6,46,11,14,8,33,0.717
Air Force (Mountain West),6,3-3,24,13,1,3,17,0.708
Vanderbilt (SEC),9,0-9,20,3,9,2,14,0.7
Arizona (Pac-12),5,0-5,13,3,2,4,9,0.692
Illinois (Big Ten),8,2-6,26,9,3,6,18,0.692
Georgia Tech (ACC),10,3-7,30,11,6,3,20,0.667
Syracuse (ACC),11,1-10,21,2,7,5,14,0.667
ULM (Sun Belt),10,0-10,32,8,11,2,21,0.656
Rice (C-USA),5,2-3,17,1,7,3,11,0.647
Colorado St. (Mountain West),4,1-3,13,5,1,2,8,0.615
Bowling Green (MAC),5,0-5,15,4,1,4,9,0.6
Massachusetts (FBS Independent),4,0-4,2,0,1,0,1,0.5
